eval/episode_success_easy,eval/episode_reward_ctrl,_timestamp,eval/episode_success_any,eval/episode_success_hard,training/alpha_loss,render,training/sps,training/log_alpha,step,eval/episode_dist,eval/episode_reward_near,training/critic_loss,eval/episode_reward,_step,training/entropy,eval/episode_success,eval/episode_reward_survive,training/actor_loss,eval/episode_reward_dist,_runtime
0.0,0.0,1774124111.9782348,1.0,0.0,0.0,,50409.26197062264,0.0,21903360.0,31.222875595092773,0.0,3.9835398197174072,958.62109375,21903360.0,0.0,958.62109375,0.0,-43.82236862182617,-31.222875595092773,684.021547108
0.0,0.0,1774124117.7078755,0.9873046875,0.0,0.0,,50673.733212818406,0.0,22157312.0,31.636756896972656,0.0,3.9850597381591797,953.5322265625,22157312.0,0.0,953.5322265625,0.0,-43.711761474609375,-31.636756896972656,689.789664001
0.0,0.0,1774124123.4760795,0.98828125,0.0,0.0,,50545.26000086366,0.0,22411264.0,33.606781005859375,0.0,3.9970006942749023,941.8701171875,22411264.0,0.0,941.8701171875,0.0,-43.54500961303711,-33.606781005859375,695.514853646
0.0,0.0,1774124144.1632543,0.9833984375,0.0,0.0,"{'sha256': '5fea9f852fe0d5cb459b723c1fc5e01ce84d3da1b2e539beaa005fd18b907499', 'path': 'media/html/render_22665216_5fea9f852fe0d5cb459b.html', 'size': 865589, '_type': 'html-file'}",50720.665952996125,0.0,22665216.0,35.731136322021484,0.0,3.9809296131134033,913.349609375,22665216.0,0.0,913.349609375,0.0,-43.435359954833984,-35.731136322021484,710.476278688
0.0,0.0,1774124144.3139794,0.9873046875,0.0,0.0,,50686.057611884105,0.0,22919168.0,32.64238357543945,0.0,3.987452268600464,872.6474609375,22919168.0,0.0,872.6474609375,0.0,-43.344635009765625,-32.64238357543945,716.330819648
0.0,0.0,1774124150.0172584,0.9990234375,0.0,0.0,,50996.09121186395,0.0,23173120.0,31.03227424621582,0.0,3.9670228958129883,962.232421875,23173120.0,0.0,962.232421875,0.0,-43.38114929199219,-31.03227424621582,722.063843363
0.0,0.0,1774124155.7500167,0.998046875,0.0,0.0,,50669.77746190985,0.0,23427072.0,29.11385726928711,0.0,3.963862180709839,944.4013671875,23427072.0,0.0,944.4013671875,0.0,-43.27888488769531,-29.11385726928711,727.768824571
0.0,0.0,1774124161.4552846,0.9970703125,0.0,0.0,,50925.57246203897,0.0,23681024.0,30.755374908447266,0.0,3.9276669025421143,968.3232421875,23681024.0,0.0,968.3232421875,0.0,-43.23447799682617,-30.755374908447266,733.506073485
0.0,0.0,1774124182.0832946,1.0,0.0,0.0,"{'sha256': 'ee81a1c9efa30e10988c1b20c397d7c07643e63fee7c895a0b56262c9d36ea48', 'path': 'media/html/render_23934976_ee81a1c9efa30e10988c.html', 'size': 869545, '_type': 'html-file'}",50614.189948352854,0.0,23934976.0,31.307510375976562,0.0,3.948089361190796,953.681640625,23934976.0,0.0,953.681640625,0.0,-43.18405532836914,-31.307510375976562,748.396324894
0.0,0.0,1774124182.2435875,1.0,0.0,0.0,,50914.803258981396,0.0,24188928.0,33.23924255371094,0.0,3.9523634910583496,960.7666015625,24188928.0,0.0,960.7666015625,0.0,-43.21772766113281,-33.23924255371094,754.309391281
0.0,0.0,1774124187.9958398,1.0,0.0,0.0,,50526.745158757534,0.0,24442880.0,31.879159927368164,0.0,3.958779811859131,965.369140625,24442880.0,0.0,965.369140625,0.0,-43.24393844604492,-31.879159927368164,760.0033892
0.0,0.0,1774124193.6897643,0.998046875,0.0,0.0,,51044.97352547787,0.0,24696832.0,33.28260803222656,0.0,3.9697256088256836,959.904296875,24696832.0,0.0,959.904296875,0.0,-43.19733810424805,-33.28260803222656,765.735622852
0.0,0.0,1774124199.422257,0.9921875,0.0,0.0,,50666.43206814382,0.0,24950784.0,33.517974853515625,0.0,4.0253376960754395,952.3212890625,24950784.0,0.0,952.3212890625,0.0,-43.262386322021484,-33.517974853515625,771.434092945
0.0,0.0,1774124219.3461463,0.9990234375,0.0,0.0,"{'path': 'media/html/render_25204736_d5bf0b0e4c3d8969d8fb.html', 'size': 879741, '_type': 'html-file', 'sha256': 'd5bf0b0e4c3d8969d8fb9f2a6ceb3a0d3901e081e9e4de55965a7951de625d6e'}",51004.25699874945,0.0,25204736.0,34.86570739746094,0.0,3.969679594039917,962.404296875,25204736.0,0.0,962.404296875,0.0,-43.3731575012207,-34.86570739746094,785.659179238
0.0,0.0,1774124219.50054,1.0,0.0,0.0,,50975.55156334319,0.0,25458688.0,35.01831817626953,0.0,3.99286150932312,952.65234375,25458688.0,0.0,952.65234375,0.0,-43.31290817260742,-35.01831817626953,791.550288514
