training/alpha_loss,eval/episode_success,eval/episode_reward_dist,eval/episode_reward_near,step,eval/episode_success_hard,eval/episode_success_any,render,training/log_alpha,training/entropy,training/sps,training/critic_loss,_runtime,eval/episode_success_easy,_step,eval/episode_reward,eval/episode_reward_ctrl,eval/episode_dist,training/actor_loss,eval/episode_reward_survive,_timestamp
0.0,965.62890625,-27.587127685546875,0.0,13268992.0,0.0,1.0,,0.0,0.0,51203.302608746315,3.8014512062072754,416.763695166,0.0,13268992.0,965.62890625,0.0,27.587127685546875,-42.139041900634766,0.0,1774111181.2630785
0.0,968.701171875,-27.069896697998047,0.0,13522944.0,0.0,1.0,,0.0,0.0,51207.430730336426,3.8381972312927246,422.439035303,0.0,13522944.0,968.701171875,0.0,27.069896697998047,-42.45079803466797,0.0,1774111186.9413686
0.0,954.0859375,-27.65680694580078,0.0,13776896.0,0.0,0.9990234375,"{'path': 'media/html/render_13776896_47a40764f76f9948e2c4.html', 'size': 863525, '_type': 'html-file', 'sha256': '47a40764f76f9948e2c46cecbb150d3132ade694bfe2d533d1a25941375c4619'}",0.0,0.0,51253.64610030049,3.8419737815856934,437.200724416,0.0,13776896.0,954.0859375,0.0,27.65680694580078,-42.643653869628906,0.0,1774111207.3789492
0.0,955.61328125,-30.157711029052734,0.0,14030848.0,0.0,1.0,,0.0,0.0,51208.395777818405,3.845292568206787,443.023258351,0.0,14030848.0,955.61328125,0.0,30.157711029052734,-42.778377532958984,0.0,1774111207.5368311
0.0,960.693359375,-25.098983764648438,0.0,14284800.0,0.0,1.0,,0.0,0.0,51397.88286399121,3.8695476055145264,448.688278363,0.0,14284800.0,960.693359375,0.0,25.098983764648438,-42.864967346191406,0.0,1774111213.200886
0.0,933.8037109375,-28.704912185668945,0.0,14538752.0,0.0,0.9990234375,,0.0,0.0,51378.800194295116,3.862612009048462,454.361212464,0.0,14538752.0,933.8037109375,0.0,28.704912185668945,-43.17787551879883,0.0,1774111218.865863
0.0,956.7587890625,-28.6649227142334,0.0,14792704.0,0.0,1.0,,0.0,0.0,51298.28717088052,3.888897180557251,460.020639064,0.0,14792704.0,956.7587890625,0.0,28.6649227142334,-43.31477737426758,0.0,1774111224.53871
0.0,952.7099609375,-29.789003372192383,0.0,15046656.0,0.0,0.998046875,"{'path': 'media/html/render_15046656_ddd02888cc24d670ade1.html', 'size': 863741, '_type': 'html-file', 'sha256': 'ddd02888cc24d670ade17a8209c51d78dd1bc6e80c741c024ab235b198fbf0d3'}",0.0,0.0,51415.76356330618,3.907398223876953,475.583761411,0.0,15046656.0,952.7099609375,0.0,29.789003372192383,-43.470001220703125,0.0,1774111245.7619936
0.0,938.34375,-31.183673858642578,0.0,15300608.0,0.0,1.0,,0.0,0.0,51303.24605020133,3.933598756790161,481.437121216,0.0,15300608.0,938.34375,0.0,31.183673858642578,-43.638118743896484,0.0,1774111245.9374323
0.0,949.3564453125,-27.6821231842041,0.0,15554560.0,0.0,0.9931640625,,0.0,0.0,51241.78615844501,3.935816526412964,487.123417865,0.0,15554560.0,949.3564453125,0.0,27.6821231842041,-43.81596755981445,0.0,1774111251.614906
0.0,946.61328125,-30.904399871826172,0.0,15808512.0,0.0,0.9951171875,,0.0,0.0,51141.986034419075,3.9600377082824707,492.817201189,0.0,15808512.0,946.61328125,0.0,30.904399871826172,-43.95416259765625,0.0,1774111257.3011315
