eval/episode_reward_near,_timestamp,eval/episode_reward_ctrl,eval/episode_success_hard,eval/episode_dist,eval/episode_reward_dist,_step,eval/episode_success,training/actor_loss,step,render,eval/episode_reward,training/sps,eval/episode_reward_survive,training/entropy,training/alpha_loss,training/log_alpha,training/critic_loss,eval/episode_success_any,_runtime,eval/episode_success_easy
0.0,1774122226.8243341,0.0,0.0,29.502063751220703,-29.502063751220703,11745280.0,960.0078125,-40.523136138916016,11745280.0,,960.0078125,50848.74937828963,0.0,0.0,0.0,0.0,3.6834747791290283,1.0,377.477859998,0.0
0.0,1774122232.5273287,0.0,0.0,31.01782989501953,-31.01782989501953,11999232.0,956.2265625,-41.09807205200195,11999232.0,,956.2265625,50941.471689069665,0.0,0.0,0.0,0.0,3.7121944427490234,0.998046875,383.197822289,0.0
0.0,1774122238.2468038,0.0,0.0,29.312637329101562,-29.312637329101562,12253184.0,962.95703125,-41.50286865234375,12253184.0,,962.95703125,50787.18879678991,0.0,0.0,0.0,0.0,3.740858793258667,1.0,388.907218869,0.0
0.0,1774122258.774356,0.0,0.0,29.737869262695312,-29.737869262695312,12507136.0,957.5400390625,-42.02648162841797,12507136.0,"{'_type': 'html-file', 'sha256': 'e8fb2331b6d64261bf122d8156711ad0c7b009037499f56a4a828a9150a7c436', 'path': 'media/html/render_12507136_e8fb2331b6d64261bf12.html', 'size': 895373}",957.5400390625,50876.50533733072,0.0,0.0,0.0,0.0,3.769524335861206,1.0,403.724347223,0.0
0.0,1774122258.973307,0.0,0.0,28.37459945678711,-28.37459945678711,12761088.0,955.6328125,-42.48339080810547,12761088.0,,955.6328125,50859.13609993365,0.0,0.0,0.0,0.0,3.8156731128692627,1.0,409.638920855,0.0
0.0,1774122264.6882293,0.0,0.0,30.896556854248047,-30.896556854248047,13015040.0,955.841796875,-42.908931732177734,13015040.0,,955.841796875,50870.04696847008,0.0,0.0,0.0,0.0,3.8409550189971924,1.0,415.344098802,0.0
0.0,1774122270.3934903,0.0,0.0,32.363563537597656,-32.363563537597656,13268992.0,942.1875,-43.02394485473633,13268992.0,,942.1875,50929.918920994336,0.0,0.0,0.0,0.0,3.8496618270874023,0.9921875,421.029053775,0.0
0.0,1774122276.0786576,0.0,0.0,32.34324264526367,-32.34324264526367,13522944.0,922.1845703125,-43.196922302246094,13522944.0,,922.1845703125,51122.724818784984,0.0,0.0,0.0,0.0,3.8641164302825928,0.974609375,426.708448398,0.0
0.0,1774122296.9499912,0.0,0.0,33.083580017089844,-33.083580017089844,13776896.0,949.513671875,-43.32101821899414,13776896.0,"{'sha256': '0fab32ffb67ac6c1700ca7fea849922ed792cc8aa8873a8ae939c5f767500cf2', 'path': 'media/html/render_13776896_0fab32ffb67ac6c1700c.html', 'size': 806965, '_type': 'html-file'}",949.513671875,51205.197966544554,0.0,0.0,0.0,0.0,3.879034996032715,0.99609375,441.89995849,0.0
0.0,1774122297.1115286,0.0,0.0,31.506446838378906,-31.506446838378906,14030848.0,936.26171875,-43.43380355834961,14030848.0,,936.26171875,51064.21535574913,0.0,0.0,0.0,0.0,3.8988420963287354,0.9951171875,447.757896863,0.0
0.0,1774122302.8072145,0.0,0.0,34.651527404785156,-34.651527404785156,14284800.0,943.4013671875,-43.58670425415039,14284800.0,,943.4013671875,51107.842726407005,0.0,0.0,0.0,0.0,3.9241344928741455,0.998046875,453.451593475,0.0
0.0,1774122308.5010247,0.0,0.0,32.64755630493164,-32.64755630493164,14538752.0,940.42578125,-43.80584716796875,14538752.0,,940.42578125,51051.93150603386,0.0,0.0,0.0,0.0,3.9421606063842773,0.9931640625,459.136743095,0.0
0.0,1774122314.1863198,0.0,0.0,29.061168670654297,-29.061168670654297,14792704.0,960.349609375,-43.87632369995117,14792704.0,,960.349609375,51149.78595825015,0.0,0.0,0.0,0.0,3.968585729598999,1.0,464.826291762,0.0
0.0,1774122334.689934,0.0,0.0,34.90666198730469,-34.90666198730469,15046656.0,928.40625,-43.9951286315918,15046656.0,"{'sha256': '3f9b138d24a37dc8677c3235b53a2b9441fafacc2c61e5fd136f3fd1a6d47a28', 'path': 'media/html/render_15046656_3f9b138d24a37dc8677c.html', 'size': 867397, '_type': 'html-file'}",928.40625,51093.30751089236,0.0,0.0,0.0,0.0,3.97800612449646,1.0,479.639914849,0.0
0.0,1774122334.842772,0.0,0.0,34.58598709106445,-34.58598709106445,15300608.0,915.572265625,-44.169010162353516,15300608.0,,915.572265625,51164.03875077636,0.0,0.0,0.0,0.0,4.006376266479492,0.9912109375,485.492504928,0.0
0.0,1774122340.5420074,0.0,0.0,32.09730529785156,-32.09730529785156,15554560.0,938.666015625,-44.26521301269531,15554560.0,,938.666015625,51055.22522008135,0.0,0.0,0.0,0.0,4.042725563049316,0.9951171875,491.182829966,0.0
0.0,1774122346.2323794,0.0,0.0,33.276084899902344,-33.276084899902344,15808512.0,936.375,-44.33510971069336,15808512.0,,936.375,51100.62924487926,0.0,0.0,0.0,0.0,4.043944835662842,0.99609375,496.876244808,0.0
0.0,1774122351.9257228,0.0,0.0,31.223026275634766,-31.223026275634766,16062464.0,956.5986328125,-44.28754425048828,16062464.0,,956.5986328125,51045.947137166826,0.0,0.0,0.0,0.0,4.064121723175049,0.9921875,502.581342644,0.0
0.0,1774122372.8947186,0.0,0.0,29.189823150634766,-29.189823150634766,16316416.0,964.4658203125,-44.23089599609375,16316416.0,"{'path': 'media/html/render_16316416_c8a8773e90206920a669.html', 'size': 900613, '_type': 'html-file', 'sha256': 'c8a8773e90206920a6691d9a8950c80996736ae93b5a9b03c908903071f1bfef'}",964.4658203125,50954.04855701968,0.0,0.0,0.0,0.0,4.05252742767334,1.0,517.844704636,0.0
0.0,1774122373.0738742,0.0,0.0,31.793209075927734,-31.793209075927734,16570368.0,949.5810546875,-44.12681579589844,16570368.0,,949.5810546875,50856.260995883335,0.0,0.0,0.0,0.0,4.041401386260986,1.0,523.720116438,0.0
0.0,1774122378.7695987,0.0,0.0,28.732906341552734,-28.732906341552734,16824320.0,969.4853515625,-44.16557693481445,16824320.0,,969.4853515625,51044.27636404762,0.0,0.0,0.0,0.0,4.002814292907715,1.0,529.419276563,0.0
0.0,1774122384.4687116,0.0,0.0,28.739486694335938,-28.739486694335938,17078272.0,963.2919921875,-44.074405670166016,17078272.0,,963.2919921875,51005.1924217571,0.0,0.0,0.0,0.0,4.016637802124023,1.0,535.119783007,0.0
0.0,1774122390.1692176,0.0,0.0,32.649417877197266,-32.649417877197266,17332224.0,961.009765625,-44.01572799682617,17332224.0,,961.009765625,50990.691117261675,0.0,0.0,0.0,0.0,3.992172956466675,0.9970703125,540.800586536,0.0
0.0,1774122411.0130954,0.0,0.0,31.737213134765625,-31.737213134765625,17586176.0,956.8779296875,-43.9969482421875,17586176.0,"{'size': 872645, '_type': 'html-file', 'sha256': '8026f009b55290d21ec80639de05bf9724854ff26cd59b5d401c2ab897c5ddc0', 'path': 'media/html/render_17586176_8026f009b55290d21ec8.html'}",956.8779296875,51168.981540335655,0.0,0.0,0.0,0.0,3.9868671894073486,0.9970703125,555.963107615,0.0
0.0,1774122411.1856601,0.0,0.0,31.81641960144043,-31.81641960144043,17840128.0,951.5458984375,-44.003562927246094,17840128.0,,951.5458984375,51113.66256241696,0.0,0.0,0.0,0.0,3.9814274311065674,0.9990234375,561.82605523,0.0
0.0,1774122416.875523,0.0,0.0,34.04234313964844,-34.04234313964844,18094080.0,908.8974609375,-43.9500846862793,18094080.0,,908.8974609375,51096.162909139755,0.0,0.0,0.0,0.0,3.9709300994873047,0.990234375,567.533834769,0.0
0.0,1774122422.5831616,0.0,0.0,31.134653091430664,-31.134653091430664,18348032.0,952.95703125,-43.93142318725586,18348032.0,,952.95703125,50944.66588355394,0.0,0.0,0.0,0.0,3.9747424125671387,0.9833984375,573.237083934,0.0
0.0,1774122428.2863328,0.0,0.0,31.414474487304688,-31.414474487304688,18601984.0,946.126953125,-43.84389877319336,18601984.0,,946.126953125,50957.68801473381,0.0,0.0,0.0,0.0,3.98337721824646,1.0,578.935677498,0.0
0.0,1774122449.246083,0.0,0.0,29.82387924194336,-29.82387924194336,18855936.0,948.099609375,-43.9450798034668,18855936.0,"{'_type': 'html-file', 'sha256': '17f38a825836c223654b5286e7c30c419badc64cf0ced77612a621c0d9eba621', 'path': 'media/html/render_18855936_17f38a825836c223654b.html', 'size': 872841}",948.099609375,51011.16723812578,0.0,0.0,0.0,0.0,3.980896234512329,0.9912109375,594.196078695,0.0
0.0,1774122449.425897,0.0,0.0,33.560569763183594,-33.560569763183594,19109888.0,946.1923828125,-44.00382995605469,19109888.0,,946.1923828125,51000.42041374931,0.0,0.0,0.0,0.0,3.979247570037842,0.9912109375,600.067711874,0.0
0.0,1774122455.1171143,0.0,0.0,32.84889221191406,-32.84889221191406,19363840.0,939.9267578125,-43.99970626831055,19363840.0,,939.9267578125,51108.02664531663,0.0,0.0,0.0,0.0,3.9820985794067383,1.0,605.753021893,0.0
0.0,1774122460.802385,0.0,0.0,30.794727325439453,-30.794727325439453,19617792.0,952.8955078125,-44.02862548828125,19617792.0,,952.8955078125,51155.99124891429,0.0,0.0,0.0,0.0,3.9918789863586426,1.0,611.445574711,0.0
0.0,1774122466.4950144,0.0,0.0,31.757627487182617,-31.757627487182617,19871744.0,950.1923828125,-44.06798553466797,19871744.0,,950.1923828125,51073.225800509,0.0,0.0,0.0,0.0,3.9989850521087646,1.0,617.125414306,0.0
