training/log_alpha,eval/episode_success_easy,_step,training/entropy,eval/episode_dist,training/sps,eval/episode_reward_ctrl,eval/episode_success,_runtime,step,_timestamp,eval/episode_reward_dist,eval/episode_success_hard,render,eval/episode_reward_survive,eval/episode_reward_near,eval/episode_success_any,eval/episode_reward,training/actor_loss,training/alpha_loss,training/critic_loss
0.0,16.9443359375,17078272.0,0.0,3003.1318359375,28138.99381878425,-1720.529541015625,0.06640625,1107.836226902,17078272.0,1773986618.943773,0.0,0.0,,884.001953125,0.0,0.00390625,0.06640625,-21.677886962890625,-1.4261216165323276e-05,0.07472006231546402
0.0,11.55859375,17332224.0,0.0,2139.9755859375,28158.392066482607,-1292.8095703125,0.75,1119.924591216,17332224.0,1773986630.9723926,0.0,0.0,,642.3408203125,0.0,0.00390625,0.75,-22.577699661254883,4.257054115441861e-06,0.07883086800575256
0.0,10.1689453125,17586176.0,0.0,2701.959716796875,28121.889592466585,-1693.15283203125,0.0,1151.777148816,17586176.0,1773986674.9138837,0.0,0.0,"{'sha256': '070e76126d1089b93561309d1bed3eb0175f69ba46e0add4c38be3f517b8bf75', 'path': 'media/html/render_17586176_070e76126d1089b93561.html', 'size': 4088561.0, '_type': 'html-file'}",808.84375,0.0,0.0,0.0,-21.591617584228516,3.188295886502601e-05,0.07584372162818909
0.0,7.00390625,17840128.0,0.0,3107.70751953125,28078.76426472638,-1825.9798583984375,0.0234375,1164.089269367,17840128.0,1773986675.093845,0.0,0.0,,888.0830078125,0.0,0.001953125,0.0234375,-21.63158416748047,-3.756604564841837e-05,0.07991015911102295
0.0,5.869140625,18094080.0,0.0,2718.68115234375,28005.687772696077,-1607.3355712890625,0.0,1176.131549225,18094080.0,1773986687.2252328,0.0,0.0,,781.83203125,0.0,0.0,0.0,-21.59136390686035,8.778314804658294e-05,0.0821056067943573
0.0,10.466796875,18348032.0,0.0,2621.7158203125,28104.723833497057,-1647.365966796875,0.0771484375,1188.204404109,18348032.0,1773986699.2675843,0.0,0.0,,772.1708984375,0.0,0.0009765625,0.0771484375,-21.303239822387695,-3.5187171306461096e-05,0.07668294757604599
0.0,30.001953125,18601984.0,0.0,2367.6416015625,28162.754159594264,-1641.6162109375,1.6240234375,1200.221599725,18601984.0,1773986711.3404396,0.0,0.0,,739.0126953125,0.0,0.0048828125,1.6240234375,-21.86507225036621,1.0277342880726792e-05,0.07881183177232742
0.0,10.09375,18855936.0,0.0,2760.939453125,28194.567753227413,-1817.9696044921875,0.0,1232.114890711,18855936.0,1773986755.2515116,0.0,0.0,"{'sha256': 'eac0002e0a790a4dd4d346afd7d1df7c795b9f080a103545611f1987ca0f7d50', 'path': 'media/html/render_18855936_eac0002e0a790a4dd4d3.html', 'size': 4096661.0, '_type': 'html-file'}",779.078125,0.0,0.0,0.0,-21.910892486572266,-3.4033204428851604e-05,0.08228860795497894
0.0,18.06640625,19109888.0,0.0,2848.1142578125,28140.682858963606,-1807.005615234375,0.4599609375,1244.331184052,19109888.0,1773986755.42689,0.0,0.0,,843.8203125,0.0,0.005859375,0.4599609375,-21.4788761138916,5.47682648175396e-05,0.07233722507953644
0.0,12.4404296875,19363840.0,0.0,2649.780029296875,28155.320278405572,-1582.8150634765625,0.005859375,1256.411621021,19363840.0,1773986767.46716,0.0,0.0,,785.7607421875,0.0,0.0009765625,0.005859375,-22.715036392211914,-1.9327804693602957e-05,0.07483745366334915
0.0,13.62109375,19617792.0,0.0,2533.70263671875,28134.318049217945,-1528.65869140625,0.001953125,1268.401926936,19617792.0,1773986779.5475128,0.0,0.0,,749.2734375,0.0,0.0009765625,0.001953125,-21.986177444458008,4.752475433633663e-06,0.07345467060804367
0.0,9.8525390625,19871744.0,0.0,2869.658203125,28290.96122744121,-1713.5146484375,0.0,1280.450924044,19871744.0,1773986791.5372102,0.0,0.0,,830.8349609375,0.0,0.0,0.0,-23.364757537841797,2.09030658879783e-05,0.07436428964138031
0.0,12.5986328125,20125696.0,0.0,2482.486328125,28230.02694769481,-1460.641845703125,0.7421875,1311.639578257,20125696.0,1773986834.7761974,0.0,0.0,"{'path': 'media/html/render_20125696_16ccb97135e352d9d416.html', 'size': 4097825.0, '_type': 'html-file', 'sha256': '16ccb97135e352d9d41627c32ed1f9f886858e7442f7e1ff925a4ff40a66a401'}",706.443359375,0.0,0.001953125,0.7421875,-23.53975486755371,3.6044275475433096e-05,0.07426031678915024
0.0,8.5283203125,20379648.0,0.0,3194.115478515625,28144.532278892675,-2009.849609375,0.0,1323.92243453,20379648.0,1773986834.9675498,0.0,0.0,,922.1826171875,0.0,0.0,0.0,-23.00179100036621,-3.0110799343674444e-05,0.07334048300981522
