training/actor_loss,training/log_alpha,eval/episode_reward_ctrl,eval/episode_reward_survive,eval/episode_reward,eval/episode_success_easy,training/alpha_loss,render,eval/episode_success,eval/episode_reward_near,eval/episode_success_any,_runtime,eval/episode_success_hard,step,training/critic_loss,_step,training/entropy,eval/episode_reward_dist,training/sps,eval/episode_dist,_timestamp
-21.923263549804688,0.0,-1650.3701171875,683.1728515625,0.5732421875,14.48828125,-2.6333109417464584e-06,,0.5732421875,0.0,0.0009765625,626.038089706,0.0,9713664.0,0.07143218070268631,9713664.0,0.0,0.0,27954.464325361412,2293.86083984375,1774005887.2322814
-22.24162483215332,0.0,-1865.7154541015625,831.8916015625,0.0,16.291015625,2.2588190404349007e-05,"{'size': 4108309.0, '_type': 'html-file', 'sha256': '7510e29cf833511727e758410e7bd65e6670c4a07f7b20f5268b1e3feca2f628', 'path': 'media/html/render_9967616_7510e29cf833511727e7.html'}",0.0,0.0,0.0,658.282162924,0.0,9967616.0,0.07290606945753098,9967616.0,0.0,0.0,27957.101323636412,2801.553955078125,1774005931.6202238
-21.680004119873047,0.0,-1571.6365966796875,736.255859375,0.283203125,12.2490234375,-2.593040517240297e-05,,0.283203125,0.0,0.0009765625,670.724406374,0.0,10221568.0,0.07746786624193192,10221568.0,0.0,0.0,27906.75864282035,2497.92041015625,1774005931.8368304
-21.307537078857422,0.0,-1773.2138671875,809.1796875,0.021484375,19.26953125,-3.216870254618698e-06,,0.021484375,0.0,0.001953125,682.967108192,0.0,10475520.0,0.07274136692285538,10475520.0,0.0,0.0,27722.465839093384,2839.160400390625,1774005944.0618072
-19.552772521972656,0.0,-1780.7257080078125,783.6787109375,0.64453125,23.6416015625,7.166962313931435e-05,,0.64453125,0.0,0.0029296875,695.209301153,0.0,10729472.0,0.06901576370000839,10729472.0,0.0,0.0,27619.726027221077,2651.97216796875,1774005956.3039367
-19.741003036499023,0.0,-1800.62353515625,809.5244140625,0.0,18.9365234375,-7.313001697184518e-05,,0.0,0.0,0.0,707.428317317,0.0,10983424.0,0.06657007336616516,10983424.0,0.0,0.0,27631.723092102493,2732.180908203125,1774005968.5467994
-19.345895767211914,0.0,-1760.29296875,840.029296875,0.0,16.857421875,1.634980071685277e-05,"{'_type': 'html-file', 'sha256': '33a4959585ee2da1cbfe448f78f76b8bd424aca3dbe73918556c6297c450d6fa', 'path': 'media/html/render_11237376_33a4959585ee2da1cbfe.html', 'size': 4104433.0}",0.0,0.0,0.0,739.585882889,0.0,11237376.0,0.06610286980867386,11237376.0,0.0,0.0,27592.259617691612,2806.439453125,1774006012.9238071
-19.811290740966797,0.0,-1814.237060546875,830.951171875,0.0,12.833984375,-2.5119043129961938e-05,,0.0,0.0,0.0,752.011101817,0.0,11491328.0,0.06382741034030914,11491328.0,0.0,0.0,27628.077874546416,2773.92822265625,1774006013.117359
-19.24899673461914,0.0,-1474.9815673828125,738.76171875,0.51953125,27.29296875,-2.9171285859774798e-05,,0.51953125,0.0,0.00390625,764.273795761,0.0,11745280.0,0.06313376128673553,11745280.0,0.0,0.0,27569.967696695123,2496.343017578125,1774006025.3485897
-18.743572235107422,0.0,-1366.161865234375,681.7138671875,0.0,10.1240234375,6.506800127681345e-05,,0.0,0.0,0.0,776.502810547,0.0,11999232.0,0.06240752711892128,11999232.0,0.0,0.0,27575.50642336129,2322.1611328125,1774006037.611191
-18.951356887817383,0.0,-1785.669189453125,843.20703125,0.0107421875,20.5478515625,-1.4038679182704072e-05,,0.0107421875,0.0,0.0009765625,788.759150455,0.0,12253184.0,0.06257394701242447,12253184.0,0.0,0.0,27553.837420463544,2855.260498046875,1774006049.8396971
-18.911989212036133,0.0,-1661.939453125,777.44921875,0.0,17.697265625,-2.920268161688e-05,"{'size': 4083517.0, '_type': 'html-file', 'sha256': 'bef50885a2af2b9ee42e52d2d7283e1c0492f54fbd2eb13cef92c02fc7ed5ecc', 'path': 'media/html/render_12507136_bef50885a2af2b9ee42e.html'}",0.0,0.0,0.0,821.108156281,0.0,12507136.0,0.06393074989318848,12507136.0,0.0,0.0,27591.569172432093,2643.05126953125,1774006094.4462657
-19.004226684570312,0.0,-2079.776123046875,875.3125,0.0,7.5966796875,3.075971471844241e-05,,0.0,0.0,0.0,833.601833231,0.0,12761088.0,0.062092360109090805,12761088.0,0.0,0.0,27541.800342560797,3040.038818359375,1774006094.6236734
-18.037240982055664,0.0,-2055.07958984375,874.7021484375,0.0,14.328125,1.5673563211748842e-06,,0.0,0.0,0.0,845.85700572,0.0,13015040.0,0.06309840828180313,13015040.0,0.0,0.0,27431.63689482817,2956.138427734375,1774006106.9394672
-17.82208824157715,0.0,-1900.4615478515625,831.529296875,0.0048828125,23.9013671875,3.336097506689839e-05,,0.0048828125,0.0,0.0009765625,858.141673624,0.0,13268992.0,0.06036284938454628,13268992.0,0.0,0.0,27481.72982051494,2814.64453125,1774006119.1945186
-17.79947280883789,0.0,-1736.26513671875,810.525390625,0.40625,29.1015625,-7.69811958889477e-05,,0.40625,0.0,0.001953125,870.399772348,0.0,13522944.0,0.06364047527313232,13522944.0,0.0,0.0,27513.9733464555,2743.5888671875,1774006131.4792407
-17.285579681396484,0.0,-1831.24853515625,847.666015625,0.0458984375,21.1416015625,-3.439467400312424e-05,"{'_type': 'html-file', 'sha256': 'b97b7b114ded200170ed13f472033756972c66ce15679883afbdff98bff683b2', 'path': 'media/html/render_13776896_b97b7b114ded200170ed.html', 'size': 4124697.0}",0.0458984375,0.0,0.0009765625,902.298324676,0.0,13776896.0,0.06111496686935425,13776896.0,0.0,0.0,27469.69543128828,2918.7998046875,1774006175.6362977
-18.02219581604004,0.0,-1371.1279296875,641.1142578125,0.0,11.154296875,-3.6981070934416493e-06,,0.0,0.0,0.0,914.799024219,0.0,14030848.0,0.05882355943322182,14030848.0,0.0,0.0,27523.030116753875,2181.238525390625,1774006175.8306506
-17.64043426513672,0.0,-1967.8974609375,842.4384765625,0.0302734375,12.3779296875,-3.704367554746568e-05,,0.0302734375,0.0,0.0009765625,927.085428009,0.0,14284800.0,0.060293324291706085,14284800.0,0.0,0.0,27345.170984816174,2848.1552734375,1774006188.1364467
-18.52983283996582,0.0,-1699.021728515625,714.8740234375,0.4091796875,7.1943359375,-3.0186967705958523e-05,,0.4091796875,0.0,0.0009765625,939.332796434,0.0,14538752.0,0.0623694472014904,14538752.0,0.0,0.0,27509.18112372746,2495.40283203125,1774006200.4229438
-18.906837463378906,0.0,-1478.56640625,681.8603515625,0.0,9.0693359375,5.594402318820357e-05,,0.0,0.0,0.0,951.623076067,0.0,14792704.0,0.06059250980615616,14792704.0,0.0,0.0,27506.185411529146,2451.26953125,1774006212.6701546
-18.3076229095459,0.0,-1650.8438720703125,804.0546875,0.009765625,14.3896484375,-5.392744787968695e-05,"{'size': 4113593.0, '_type': 'html-file', 'sha256': '03e294053b622731aa42d3d8c498fa32f09917517e8fb1f487dff8925819852b', 'path': 'media/html/render_15046656_03e294053b622731aa42.html'}",0.009765625,0.0,0.0009765625,983.765517978,0.0,15046656.0,0.059484709054231644,15046656.0,0.0,0.0,27508.555927159363,2717.67431640625,1774006257.1035233
