eval/episode_reward_dist,eval/episode_reward_near,eval/episode_dist,training/alpha_loss,_timestamp,eval/episode_reward_ctrl,_runtime,training/sps,training/actor_loss,_step,training/critic_loss,eval/episode_success_hard,eval/episode_reward_survive,render,eval/episode_success_any,training/entropy,eval/episode_reward,eval/episode_success_easy,training/log_alpha,eval/episode_success,step
0.0,0.0,5953.50244140625,0.0,1774284553.693336,-2796.208984375,3003.627524019,30114.580223400226,-1.127490520477295,26982400.0,0.31174495816230774,0.0,704.9384765625,,0.0380859375,0.0,24.53515625,35.3740234375,0.0,24.53515625,26982400.0
0.0,0.0,3892.199462890625,0.0,1774284576.1698618,-2020.148681640625,3026.392747267,30501.132573439405,-1.2040870189666748,27236352.0,0.3196813464164734,0.0,511.130859375,,0.064453125,0.0,45.0205078125,56.689453125,0.0,45.0205078125,27236352.0
0.0,0.0,5723.009765625,0.0,1774284598.9349742,-2688.9052734375,3048.929122496,30240.104539414486,-1.1438183784484863,27490304.0,0.3212730288505554,0.0,677.87890625,,0.0654296875,0.0,44.265625,55.0712890625,0.0,44.265625,27490304.0
0.0,0.0,7068.9716796875,0.0,1774284671.1670923,-3371.54931640625,3098.624241433,30328.75265742357,-1.1656970977783203,27744256.0,0.31305262446403503,0.0,845.1435546875,"{'_type': 'html-file', 'sha256': 'b67c7d08a673bc6227a25387646f59230cb570545a33d11969f3b59fdb35ed04', 'path': 'media/html/render_27744256_b67c7d08a673bc6227a2.html', 'size': 3654029.0}",0.03125,0.0,18.8095703125,28.46875,0.0,18.8095703125,27744256.0
0.0,0.0,6969.166015625,0.0,1774284671.3997748,-3169.98388671875,3121.476024372,30223.303020741638,-1.2987076044082642,27998208.0,0.3354851007461548,0.0,796.5966796875,,0.029296875,0.0,19.1806640625,25.38671875,0.0,19.1806640625,27998208.0
0.0,0.0,5574.12646484375,0.0,1774284694.0183413,-2434.34326171875,3144.260648272,30141.68048669863,-1.2312805652618408,28252160.0,0.3282111585140228,0.0,610.3095703125,,0.001953125,0.0,1.4384765625,1.9033203125,0.0,1.4384765625,28252160.0
0.0,0.0,5866.43603515625,0.0,1774284716.8028967,-2860.326171875,3166.799995933,30160.349462675844,-1.4339648485183716,28506112.0,0.3428264856338501,0.0,722.126953125,,0.0869140625,0.0,62.1943359375,75.61328125,0.0,62.1943359375,28506112.0
0.0,0.0,4657.0751953125,0.0,1774284739.3422728,-2186.59130859375,3189.565127631,30265.322523173538,-1.3261594772338867,28760064.0,0.3494330048561096,0.0,551.5576171875,,0.064453125,0.0,36.001953125,44.93359375,0.0,36.001953125,28760064.0
0.0,0.0,5875.7216796875,0.0,1774284811.5303504,-2863.47216796875,3238.987498204,30236.185003509025,-1.3094202280044556,29014016.0,0.3519841432571411,0.0,719.1220703125,"{'path': 'media/html/render_29014016_6c59f4044184ab14c6ac.html', 'size': 3657233.0, '_type': 'html-file', 'sha256': '6c59f4044184ab14c6acc5adbda1381574bd877f21584009f94babce1ce71a41'}",0.052734375,0.0,35.8564453125,45.697265625,0.0,35.8564453125,29014016.0
0.0,0.0,6317.18798828125,0.0,1774284811.7853563,-3026.6337890625,3262.05949123,30386.45891211164,-1.3196265697479248,29267968.0,0.36683130264282227,0.0,761.5771484375,,0.0615234375,0.0,41.115234375,50.0849609375,0.0,41.115234375,29267968.0
0.0,0.0,6235.0869140625,0.0,1774284834.60159,-3074.83544921875,3284.58053999,30091.374880799354,-1.260188341140747,29521920.0,0.3597301244735718,0.0,772.390625,,0.0595703125,0.0,43.28125,55.87890625,0.0,43.28125,29521920.0
0.0,0.0,3600.3515625,0.0,1774284857.1227107,-1726.798583984375,3307.363744082,30333.66371165884,-1.3382223844528198,29775872.0,0.36803266406059265,0.0,436.5048828125,,0.037109375,0.0,24.580078125,31.6337890625,0.0,24.580078125,29775872.0
0.0,0.0,6334.6455078125,0.0,1774284879.9053228,-2976.06494140625,3329.881747217,30165.888712239852,-1.5304795503616333,30029824.0,0.38668471574783325,0.0,747.2548828125,,0.033203125,0.0,21.5986328125,26.3935546875,0.0,21.5986328125,30029824.0
0.0,0.0,5583.51171875,0.0,1774284950.8488157,-2607.72998046875,3378.306007298,30385.76110635183,-1.66446053981781,30283776.0,0.40419358015060425,0.0,657.08203125,"{'sha256': '621f86155b4ebc231bbb90c0ce02a199de3a5a4b37931c573db80e87f5509eef', 'path': 'media/html/render_30283776_621f86155b4ebc231bbb.html', 'size': 3709289.0, '_type': 'html-file'}",0.0341796875,0.0,17.734375,25.54296875,0.0,17.734375,30283776.0
0.0,0.0,5421.798828125,0.0,1774284951.0721152,-2597.36279296875,3401.076401148,30142.33812520621,-1.7300868034362793,30537728.0,0.41552072763442993,0.0,652.4052734375,,0.0458984375,0.0,32.681640625,40.72265625,0.0,32.681640625,30537728.0
0.0,0.0,3411.106689453125,0.0,1774284973.6186314,-1700.86865234375,3423.84470831,30292.64751291591,-1.3575921058654785,30791680.0,0.37780508399009705,0.0,427.3095703125,,0.0166015625,0.0,12.2041015625,14.9052734375,0.0,12.2041015625,30791680.0
0.0,0.0,6005.03369140625,0.0,1774284996.3867607,-2902.960693359375,3446.34303507,30199.909334030734,-1.5603371858596802,31045632.0,0.39774709939956665,0.0,730.0087890625,,0.04296875,0.0,29.40234375,36.96484375,0.0,29.40234375,31045632.0
0.0,0.0,5118.9658203125,0.0,1774285018.8849227,-2708.4462890625,3469.103604011,30433.298063589667,-1.778388261795044,31299584.0,0.4114849865436554,0.0,684.6796875,,0.1181640625,0.0,79.626953125,98.8974609375,0.0,79.626953125,31299584.0
0.0,0.0,6432.3017578125,0.0,1774285091.1019223,-3102.0107421875,3518.559091046,30241.665425932013,-1.768881916999817,31553536.0,0.4150666296482086,0.0,782.736328125,"{'path': 'media/html/render_31553536_f0aa833d333ab6999254.html', 'size': 3719789.0, '_type': 'html-file', 'sha256': 'f0aa833d333ab69992545de68555fb506f8f559ea9d85e9cfe6142aa0f115ed9'}",0.078125,0.0,57.228515625,68.4873046875,0.0,57.228515625,31553536.0
0.0,0.0,7039.13720703125,0.0,1774285091.3265316,-3508.596923828125,3541.623074318,30436.219977857592,-1.8663651943206787,31807488.0,0.4255305230617523,0.0,882.7783203125,,0.09765625,0.0,73.23046875,92.0595703125,0.0,73.23046875,31807488.0
0.0,0.0,4785.693359375,0.0,1774285114.16538,-2463.33447265625,3564.126302372,30043.40778620854,-1.8818756341934204,32061440.0,0.3988800346851349,0.0,620.0234375,,0.0673828125,0.0,48.9931640625,60.353515625,0.0,48.9931640625,32061440.0
0.0,0.0,7016.2568359375,0.0,1774285136.6684637,-3322.4638671875,3586.887546723,30402.86093819155,-2.0630948543548584,32315392.0,0.41808655858039856,0.0,834.67578125,,0.0673828125,0.0,44.76953125,58.9638671875,0.0,44.76953125,32315392.0
