training/actor_loss,eval/episode_reward_survive,training/sps,render,_runtime,eval/episode_success,training/entropy,training/log_alpha,eval/episode_reward_dist,eval/episode_dist,_timestamp,eval/episode_reward_ctrl,eval/episode_success_any,eval/episode_reward,eval/episode_reward_near,training/critic_loss,eval/episode_success_easy,step,eval/episode_success_hard,training/alpha_loss,_step
0.09421611577272415,960.609375,30025.401233194305,"{'path': 'media/html/render_25204736_8368d50cc7d94c2ebfa1.html', 'size': 3645877.0, '_type': 'html-file', 'sha256': '8368d50cc7d94c2ebfa13bf43672710998af4c999efc7841b0e30d7330f398cb'}",2832.048735388,0.0,0.0,0.0,0.0,7562.716796875,1774536874.2478907,-3838.83642578125,0.0,0.0,0.0,0.008583955466747284,3.4921875,25204736.0,0.0,0.0,25204736.0
0.10153767466545105,955.29296875,29773.189977129066,,2854.89887462,0.0,0.0,0.0,0.0,7795.13232421875,1774536874.473744,-3818.83056640625,0.0,0.0,0.0,0.008362432941794395,0.0,25458688.0,0.0,0.0,25458688.0
0.11016059666872025,661.5791015625,30071.324923258475,,2877.805920091,0.14453125,0.0,0.0,0.0,5759.4287109375,1774536897.0973563,-2641.57080078125,0.00390625,0.14453125,0.0,0.008859449997544289,6.9580078125,25712640.0,0.0,0.0,25712640.0
0.1290600746870041,802.9140625,29755.760142543568,,2900.446197335,0.0,0.0,0.0,0.0,6630.7412109375,1774536920.004289,-3205.21630859375,0.0,0.0,0.0,0.006870718207210302,2.09765625,25966592.0,0.0,0.0,25966592.0
0.15078085660934448,678.15625,30034.81001681907,,2923.367060313,0.0,0.0,0.0,0.0,6099.36865234375,1774536942.6446438,-2710.33203125,0.0,0.0,0.0,0.005648226942867041,0.0,26220544.0,0.0,0.0,26220544.0
0.14710742235183716,886.81640625,29747.761532267712,"{'path': 'media/html/render_26474496_69ce14d8ba12103069bc.html', 'size': 3756409.0, '_type': 'html-file', 'sha256': '69ce14d8ba12103069bc687f2fe374f3d68b3a7e047150a0f3effe814646d1bf'}",2971.681935057,0.0,0.0,0.0,0.0,8211.6328125,1774537013.8810947,-3546.26513671875,0.0,0.0,0.0,0.0057573080994188786,1.517578125,26474496.0,0.0,0.0,26474496.0
0.1375897228717804,475.884765625,30089.5183662405,,2994.840525297,0.013671875,0.0,0.0,0.0,4206.0771484375,1774537014.093608,-1899.448974609375,0.0009765625,0.013671875,0.0,0.007344379555433989,1.8818359375,26728448.0,0.0,0.0,26728448.0
0.11475580185651779,789.099609375,29679.6112176499,,3017.476949362,0.0,0.0,0.0,0.0,6830.7080078125,1774537037.039062,-3153.251708984375,0.0,0.0,0.0,0.007954112254083157,3.0654296875,26982400.0,0.0,0.0,26982400.0
0.11224906146526337,960.05078125,30030.67257529639,,3040.388580331,0.0,0.0,0.0,0.0,8035.048828125,1774537059.6754484,-3836.89599609375,0.0,0.0,0.0,0.009614067152142525,4.8173828125,27236352.0,0.0,0.0,27236352.0
0.11890425533056259,928.8427734375,29777.412438110605,,3063.04150758,1.4716796875,0.0,0.0,0.0,7712.68310546875,1774537082.5870116,-3712.213134765625,0.0029296875,1.4716796875,0.0,0.008828308433294296,3.62109375,27490304.0,0.0,0.0,27490304.0
0.11278163641691208,936.2451171875,30034.15536818795,"{'path': 'media/html/render_27744256_15097a3221657b339140.html', 'size': 3645917.0, '_type': 'html-file', 'sha256': '15097a3221657b339140e2841202ddc3f1ee70c0670f0f5165b72b1fab6c2dd3'}",3112.756632736,0.0,0.0,0.0,0.0,7884.2080078125,1774537154.955782,-3743.1591796875,0.0,0.0,0.0,0.008326343260705471,1.052734375,27744256.0,0.0,0.0,27744256.0
0.10975343734025955,943.498046875,29806.518620974894,,3135.645160178,0.0,0.0,0.0,0.0,7530.6865234375,1774537155.1572275,-3770.793701171875,0.0,0.0,0.0,0.007519184611737728,0.0,27998208.0,0.0,0.0,27998208.0
