eval/episode_reward,eval/episode_success_any,eval/episode_reward_survive,training/sps,training/actor_loss,eval/episode_reward_near,_runtime,_timestamp,training/log_alpha,_step,eval/episode_success_hard,eval/episode_reward_ctrl,training/entropy,eval/episode_reward_dist,render,eval/episode_success_easy,training/alpha_loss,eval/episode_success,step,eval/episode_dist,training/critic_loss
0.03515625,0.005859375,0.0,21997.81592646896,-0.006753415334969759,0.0,3116.332717667,1773990940.6818545,0.0,37108736.0,0.0,0.0,0.0,0.0,,21.11328125,1.9361299022357947e-11,0.03515625,37108736.0,226.84349060058594,7.433671271428466e-05
0.017578125,0.00390625,0.0,21984.692072709542,-0.007109899539500475,0.0,3159.415085687,1773990999.2796853,0.0,37362688.0,0.0,0.0,0.0,0.0,"{'sha256': 'f95343e3bfe434010508ed626574ba3987d7f0eb717b0e002957142163ab9c65', 'path': 'media/html/render_37362688_f95343e3bfe434010508.html', 'size': 4697205.0, '_type': 'html-file'}",20.1328125,2.204960172780268e-11,0.017578125,37362688.0,242.87762451171875,7.54538195906207e-05
0.009765625,0.001953125,0.0,21994.14393731873,-0.0068789273500442505,0.0,3175.189666687,1773990999.5025656,0.0,37616640.0,0.0,0.0,0.0,0.0,,21.599609375,2.3692291184485015e-11,0.009765625,37616640.0,245.22967529296875,7.62969211791642e-05
0.015625,0.00390625,0.0,21934.514473551684,-0.006536474451422691,0.0,3190.698617169,1773991015.0536244,0.0,37870592.0,0.0,0.0,0.0,0.0,,23.740234375,2.4849580726460374e-11,0.015625,37870592.0,241.67813110351562,7.614721835125238e-05
0.03515625,0.005859375,0.0,21986.451907098133,-0.006429402623325586,0.0,3206.197502456,1773991030.5626633,0.0,38124544.0,0.0,0.0,0.0,0.0,,19.94140625,1.5532138075702306e-11,0.03515625,38124544.0,230.09242248535156,6.726031278958544e-05
0.001953125,0.001953125,0.0,22016.877807175362,-0.006207082886248827,0.0,3221.698747251,1773991046.0614612,0.0,38378496.0,0.0,0.0,0.0,0.0,,20.74609375,1.3373195779931013e-11,0.001953125,38378496.0,238.73776245117188,7.591180474264547e-05
0.017578125,0.00390625,0.0,22004.719895235285,-0.006739789620041847,0.0,3263.275163193,1773991103.1397407,0.0,38632448.0,0.0,0.0,0.0,0.0,"{'path': 'media/html/render_38632448_bc42ddb932a5cbc7f9ce.html', 'size': 4701857.0, '_type': 'html-file', 'sha256': 'bc42ddb932a5cbc7f9ce20254b5d0e8280426be53bd02bab148ae6192084872e'}",20.01953125,1.5779781994962327e-11,0.017578125,38632448.0,249.25100708007812,7.581041427329183e-05
0.01953125,0.001953125,0.0,21998.939934646234,-0.006949378177523613,0.0,3279.044830617,1773991103.3744187,0.0,38886400.0,0.0,0.0,0.0,0.0,,22.427734375,2.098425773422452e-11,0.01953125,38886400.0,256.6269836425781,7.803255721228197e-05
0.01953125,0.005859375,0.0,21955.758784606875,-0.006749744061380625,0.0,3294.563713017,1773991118.9088917,0.0,39140352.0,0.0,0.0,0.0,0.0,,22.384765625,2.5258477601153295e-11,0.01953125,39140352.0,258.5860595703125,8.215355774154887e-05
0.01171875,0.001953125,0.0,21964.556187726088,-0.006778501905500889,0.0,3310.074290051,1773991134.4277143,0.0,39394304.0,0.0,0.0,0.0,0.0,,24.4140625,2.717117676687142e-11,0.01171875,39394304.0,256.611083984375,7.509144052164629e-05
