eval/episode_reward_survive,training/critic_loss,training/actor_loss,render,training/alpha_loss,_timestamp,_step,eval/episode_dist,eval/episode_success_easy,eval/episode_success,eval/episode_reward_ctrl,eval/episode_success_hard,step,training/log_alpha,eval/episode_success_any,training/entropy,eval/episode_reward_dist,eval/episode_reward_near,eval/episode_reward,_runtime,training/sps
0.0,1.0880325135076419e-05,-0.0008445656858384609,,4.1802332428897415e-11,1774002945.2704651,26950656.0,209.81976318359375,17.685546875,0.015625,0.0,0.0,26950656.0,0.0,0.00390625,0.0,0.0,0.0,0.015625,2282.504234158,21826.99077280279
0.0,1.3935963579569943e-05,-0.0010586726712062955,"{'path': 'media/html/render_27204608_40f14b77624b648bb87e.html', 'size': 4713205.0, '_type': 'html-file', 'sha256': '40f14b77624b648bb87ecf259ac41f4541d2517eb368e56bec12670b3a76ca0d'}",4.06658942631033e-11,1774003003.2593079,27204608.0,213.5469970703125,19.361328125,0.0,0.0,0.0,27204608.0,0.0,0.0,0.0,0.0,0.0,0.0,2324.911112844,21869.74094967706
0.0,1.259235887118848e-05,-0.001047663507051766,,3.9560937858951206e-11,1774003003.488384,27458560.0,207.58714294433594,18.375,0.0,0.0,0.0,27458560.0,0.0,0.0,0.0,0.0,0.0,0.0,2340.762655092,21852.631469620967
0.0,1.2345042705419473e-05,-0.0009981829207390547,,3.8463066065475005e-11,1774003019.1102512,27712512.0,211.94253540039062,17.443359375,0.0,0.0,0.0,27712512.0,0.0,0.0,0.0,0.0,0.0,0.0,2356.340855933,21812.219625634454
0.0,8.559315574530046e-06,-0.0009160249610431492,,3.740615803216052e-11,1774003034.6880834,27966464.0,220.4512939453125,15.533203125,0.001953125,0.0,0.0,27966464.0,0.0,0.001953125,0.0,0.0,0.0,0.001953125,2371.913346891,21869.742296768316
0.0,9.292304639529902e-06,-0.0007623974233865738,,3.637895193420171e-11,1774003050.2611344,28220416.0,217.90509033203125,15.48828125,0.001953125,0.0,0.0,28220416.0,0.0,0.001953125,0.0,0.0,0.0,0.001953125,2387.501636223,21882.164142050995
0.0,9.170295925287064e-06,-0.0007977302884683013,"{'path': 'media/html/render_28474368_7539a0ab8a8f813dcec0.html', 'size': 4710925.0, '_type': 'html-file', 'sha256': '7539a0ab8a8f813dcec0646ede5d157456995f3185b8799ae4dd5f39ac0e0e90'}",3.536050965924353e-11,1774003108.038492,28474368.0,215.81472778320312,18.5,0.00390625,0.0,0.0,28474368.0,0.0,0.001953125,0.0,0.0,0.0,0.00390625,2429.690318622,21855.426704376572
0.0,8.925007023208309e-06,-0.0007251763017848134,,3.436253018240798e-11,1774003108.2986138,28728320.0,218.6993408203125,17.044921875,0.013671875,0.0,0.0,28728320.0,0.0,0.001953125,0.0,0.0,0.0,0.013671875,2445.536686615,21873.646415263484
0.0,6.35976448393194e-06,-0.0006354796350933611,,3.338863907575984e-11,1774003123.884397,28982272.0,210.35520935058594,17.44921875,0.0,0.0,0.0,28982272.0,0.0,0.0,0.0,0.0,0.0,0.0,2461.143680609,21871.29335792699
0.0,9.048357242136262e-06,-0.0006928187794983387,,3.2439422675833995e-11,1774003139.4908974,29236224.0,202.36492919921875,19.61328125,0.00390625,0.0,0.0,29236224.0,0.0,0.001953125,0.0,0.0,0.0,0.00390625,2476.706619295,21814.864687927562
0.0,9.291352398577146e-06,-0.0007108018617145717,,3.181976557242727e-11,1774003155.0544734,29490176.0,212.45849609375,16.7890625,0.0,0.0,0.0,29490176.0,0.0,0.0,0.0,0.0,0.0,0.0,2492.286561872,21897.09637817755
0.0,9.048482752405107e-06,-0.0007603698177263141,"{'sha256': 'd47b421690158762cda7c2e03b269e358b829d8befef119b2c043bc9671583cc', 'path': 'media/html/render_29744128_d47b421690158762cda7.html', 'size': 4714417.0, '_type': 'html-file'}",3.171907181354072e-11,1774003212.9939783,29744128.0,220.574462890625,15.134765625,0.0,0.0,0.0,29744128.0,0.0,0.0,0.0,0.0,0.0,0.0,2534.645760609,21875.37997986191
0.0,9.29155976336915e-06,-0.0008098067482933402,,3.16882249606909e-11,1774003213.2861443,29998080.0,206.9998321533203,18.900390625,0.0,0.0,0.0,29998080.0,0.0,0.0,0.0,0.0,0.0,0.0,2550.548391092,21898.741365992195
0.0,5.25993391420343e-06,-0.0005060954135842621,,3.167680354132507e-11,1774003228.8959575,30252032.0,219.64019775390625,16.951171875,0.009765625,0.0,0.0,30252032.0,0.0,0.001953125,0.0,0.0,0.0,0.009765625,2566.114923247,21831.818402225683
0.0,8.07007836556295e-06,-0.0006287085125222802,,3.167706374984647e-11,1774003244.4624975,30505984.0,215.72279357910156,16.6796875,0.0,0.0,0.0,30505984.0,0.0,0.0,0.0,0.0,0.0,0.0,2581.681322298,21887.443022842548
0.0,9.169158147415146e-06,-0.0007634123903699219,,3.167694231920315e-11,1774003260.0290983,30759936.0,212.8299560546875,18.39453125,0.01171875,0.0,0.0,30759936.0,0.0,0.001953125,0.0,0.0,0.0,0.01171875,2597.250292702,21893.957901312206
