training/sps,training/actor_loss,training/entropy,_runtime,eval/episode_reward_ctrl,eval/episode_success_easy,eval/episode_reward_dist,eval/episode_success,eval/episode_reward,training/alpha_loss,render,_timestamp,eval/episode_dist,eval/episode_success_hard,eval/episode_reward_near,training/critic_loss,eval/episode_reward_survive,eval/episode_success_any,step,training/log_alpha,_step
33367.476794130314,-7.403347808576655e-06,0.0,1971.6479788,0.0,10.4921875,0.0,0.0078125,0.0078125,0.0,"{'sha256': '4650afe520df3b1af9c43c3c107c86bfb2e7760c5dbcc0415f1c8aebf8b8d9b8', 'path': 'media/html/render_28474368_4650afe520df3b1af9c4.html', 'size': 4774997.0, '_type': 'html-file'}",1774340776.2324977,124.31507873535156,0.0,0.0,3.4557745554053554e-11,0.0,0.00390625,28474368.0,0.0,28474368.0
33444.14029678149,-1.0176721843890846e-05,0.0,1983.47430857,0.0,9.63671875,0.0,0.005859375,0.005859375,0.0,,1774340776.4897282,126.58015441894531,0.0,0.0,3.6773801070921763e-07,0.0,0.001953125,28728320.0,0.0,28728320.0
33356.51325541298,-3.789378024521284e-05,0.0,1995.022155696,0.0,10.05078125,0.0,0.001953125,0.001953125,0.0,,1774340788.0584629,122.49179077148438,0.0,0.0,2.0811605736525962e-06,0.0,0.001953125,28982272.0,0.0,28982272.0
33392.15123628487,-6.737426156178117e-05,0.0,2006.574381916,0.0,11.1875,0.0,0.005859375,0.005859375,0.0,,1774340799.606198,118.60696411132812,0.0,0.0,2.8145441319793463e-06,0.0,0.001953125,29236224.0,0.0,29236224.0
33371.530906293854,-6.204843521118164e-05,0.0,2018.139992239,0.0,9.59765625,0.0,0.0,0.0,0.0,,1774340811.1585822,123.23851776123047,0.0,0.0,1.8360772173764417e-06,0.0,0.0,29490176.0,0.0,29490176.0
33349.55767440639,-4.54092187283095e-05,0.0,2055.662271314,0.0,8.978515625,0.0,0.0078125,0.0078125,0.0,"{'path': 'media/html/render_29744128_4650afe520df3b1af9c4.html', 'size': 4774997.0, '_type': 'html-file', 'sha256': '4650afe520df3b1af9c43c3c107c86bfb2e7760c5dbcc0415f1c8aebf8b8d9b8'}",1774340860.246795,126.1417236328125,0.0,0.0,6.126349489932181e-07,0.0,0.001953125,29744128.0,0.0,29744128.0
33340.98624938344,-2.8272042982280254e-05,0.0,2067.491820512,0.0,11.078125,0.0,0.005859375,0.005859375,0.0,,1774340860.4640079,118.44094848632812,0.0,0.0,7.349045745286276e-07,0.0,0.001953125,29998080.0,0.0,29998080.0
33295.74179142558,-3.11186486214865e-05,0.0,2079.060171362,0.0,9.8515625,0.0,0.0,0.0,0.0,,1774340872.0759299,125.13990783691406,0.0,0.0,1.4680812228107243e-06,0.0,0.0,30252032.0,0.0,30252032.0
33335.24520188013,-5.18340639246162e-05,0.0,2090.605332953,0.0,9.189453125,0.0,0.001953125,0.001953125,0.0,,1774340883.644264,124.21940612792969,0.0,0.0,1.4693123375764117e-06,0.0,0.001953125,30505984.0,0.0,30505984.0
33393.29651047176,-4.14108217228204e-05,0.0,2102.164531826,0.0,10.88671875,0.0,0.009765625,0.009765625,0.0,,1774340895.1894534,121.50818634033203,0.0,0.0,1.7140569070761558e-06,0.0,0.00390625,30759936.0,0.0,30759936.0
33362.912653941625,-4.316380727686919e-05,0.0,2140.553164639,0.0,11.138671875,0.0,0.0,0.0,0.0,"{'path': 'media/html/render_31013888_4650afe520df3b1af9c4.html', 'size': 4774997.0, '_type': 'html-file', 'sha256': '4650afe520df3b1af9c43c3c107c86bfb2e7760c5dbcc0415f1c8aebf8b8d9b8'}",1774340945.1377091,120.90233612060547,0.0,0.0,7.345253720814071e-07,0.0,0.0,31013888.0,0.0,31013888.0
33400.2525454105,-2.306489841430448e-05,0.0,2152.40262347,0.0,9.794921875,0.0,0.00390625,0.00390625,0.0,,1774340945.3810892,124.3957290649414,0.0,0.0,6.129428697931871e-07,0.0,0.001953125,31267840.0,0.0,31267840.0
33205.50018551902,-2.7934915124205872e-05,0.0,2163.949494605,0.0,10.005859375,0.0,0.0,0.0,0.0,,1774340956.9867997,123.93445587158203,0.0,0.0,9.802088243304752e-07,0.0,0.0,31521792.0,0.0,31521792.0
33342.93690252851,-1.4045582247490529e-05,0.0,2175.504038086,0.0,10.111328125,0.0,0.0,0.0,0.0,,1774340968.5335586,123.90225219726562,0.0,0.0,1.2267760496342817e-07,0.0,0.0,31775744.0,0.0,31775744.0
33370.81472665555,-7.263693532877369e-06,0.0,2187.056804495,0.0,9.400390625,0.0,0.0,0.0,0.0,,1774340980.0881994,126.23054504394531,0.0,0.0,2.296480540453505e-11,0.0,0.0,32029696.0,0.0,32029696.0
33352.33851434735,-6.6401871663401835e-06,0.0,2225.492503949,0.0,10.0390625,0.0,0.0,0.0,0.0,"{'sha256': '4650afe520df3b1af9c43c3c107c86bfb2e7760c5dbcc0415f1c8aebf8b8d9b8', 'path': 'media/html/render_32283648_4650afe520df3b1af9c4.html', 'size': 4774997.0, '_type': 'html-file'}",1774341030.0770414,122.76168060302734,0.0,0.0,1.226630530481998e-07,0.0,0.0,32283648.0,0.0,32283648.0
33354.143227882465,-7.962389645399526e-06,0.0,2237.283156457,0.0,9.623046875,0.0,0.005859375,0.005859375,0.0,,1774341030.293295,125.0760269165039,0.0,0.0,2.4513386165381235e-07,0.0,0.001953125,32537600.0,0.0,32537600.0
33287.16367517636,-4.627513135346817e-06,0.0,2248.850912639,0.0,10.2265625,0.0,0.005859375,0.005859375,0.0,,1774341041.8672996,124.0093994140625,0.0,0.0,3.2620975365382776e-11,0.0,0.001953125,32791552.0,0.0,32791552.0
33313.08528750832,2.453794877510518e-06,0.0,2260.392387489,0.0,9.400390625,0.0,0.0,0.0,0.0,,1774341053.434943,123.60044860839844,0.0,0.0,3.2246875308894474e-11,0.0,0.0,33045504.0,0.0,33045504.0
