eval/episode_success,training/actor_loss,eval/episode_reward,_timestamp,training/entropy,_step,_runtime,training/sps,render,training/alpha_loss,eval/episode_success_any,eval/episode_success_hard,training/log_alpha,step,eval/episode_dist,eval/episode_reward_ctrl,training/critic_loss,eval/episode_reward_dist,eval/episode_reward_near,eval/episode_reward_survive,eval/episode_success_easy
0.0,3.6137746519671055e-06,0.0,1774343988.6792886,0.0,24665088.0,1719.189417526,33428.27564220212,"{'_type': 'html-file', 'sha256': '802407636c10f2b38582e34e3b46358d545d9d3a8453689233dd680f1851be60', 'path': 'media/html/render_24665088_802407636c10f2b38582.html', 'size': 4743841.0}",0.0,0.0,0.0,0.0,24665088.0,54.44001770019531,0.0,3.29651063391001e-11,0.0,0.0,0.0,4.365234375
0.0,3.9219617065100465e-06,0.0,1774343988.8849895,0.0,24919040.0,1730.971528632,33371.84143461035,,0.0,0.0,0.0,0.0,24919040.0,53.142425537109375,0.0,3.344162793905703e-11,0.0,0.0,0.0,5.017578125
0.0,2.8712931907648453e-06,0.0,1774344000.4609175,0.0,25172992.0,1742.505139451,33298.22531724776,,0.0,0.0,0.0,0.0,25172992.0,55.022911071777344,0.0,3.2502039254422854e-11,0.0,0.0,0.0,4.654296875
0.0,2.512816990929423e-06,0.0,1774344011.9946406,0.0,25426944.0,1754.05796099,33455.83298918001,,0.0,0.0,0.0,0.0,25426944.0,52.17969512939453,0.0,3.2408749295331774e-11,0.0,0.0,0.0,5.203125
0.0,3.613728267737315e-06,0.0,1774344023.5473616,0.0,25680896.0,1765.604378909,33399.07223421195,,0.0,0.0,0.0,0.0,25680896.0,54.37400436401367,0.0,3.345139443222678e-11,0.0,0.0,0.0,4.427734375
0.0,3.233286633985699e-06,0.0,1774344073.2858553,0.0,25934848.0,1803.795991257,33402.931857700845,"{'_type': 'html-file', 'sha256': '802407636c10f2b38582e34e3b46358d545d9d3a8453689233dd680f1851be60', 'path': 'media/html/render_25934848_802407636c10f2b38582.html', 'size': 4743841.0}",0.0,0.0,0.0,0.0,25934848.0,54.13933563232422,0.0,3.268836590297752e-11,0.0,0.0,0.0,4.234375
0.0,2.346168002986815e-06,0.0,1774344073.5667028,0.0,26188800.0,1815.643263429,33445.325895902344,,0.0,0.0,0.0,0.0,26188800.0,53.91966247558594,0.0,3.2371012120835374e-11,0.0,0.0,0.0,4.359375
0.0,3.456085778452689e-06,0.0,1774344085.1326718,0.0,26442752.0,1827.189124531,33360.64306790463,,0.0,0.0,0.0,0.0,26442752.0,53.61298370361328,0.0,3.3143501831922606e-11,0.0,0.0,0.0,4.951171875
0.0,1.8811555264619528e-06,0.0,1774344096.6780298,0.0,26696704.0,1838.732266901,33436.84582905636,,0.0,0.0,0.0,0.0,26696704.0,54.69798278808594,0.0,3.217154667667366e-11,0.0,0.0,0.0,4.703125
0.0,3.057292360608699e-06,0.0,1774344108.2217,0.0,26950656.0,1850.289519581,33416.19229471627,,0.0,0.0,0.0,0.0,26950656.0,54.1928825378418,0.0,3.325313288615739e-11,0.0,0.0,0.0,4.171875
