eval/episode_reward,eval/episode_dist,eval/episode_success,eval/episode_reward_survive,training/sps,training/critic_loss,eval/episode_success_hard,_timestamp,training/log_alpha,training/actor_loss,training/alpha_loss,eval/episode_reward_dist,eval/episode_success_easy,training/entropy,render,eval/episode_success_any,_step,eval/episode_reward_near,step,eval/episode_reward_ctrl,_runtime
0.0,51.314552307128906,0.0,0.0,33282.84091464578,3.252675212506162e-11,0.0,1774364045.806017,0.0,2.57520014201873e-06,0.0,0.0,4.234375,0.0,,0.0,26188800.0,0.0,26188800.0,0.0,1813.919116884
0.0,50.37104415893555,0.0,0.0,33206.91324239719,3.300898443470146e-11,0.0,1774364057.4052496,0.0,3.3794858609326184e-06,0.0,0.0,4.3984375,0.0,,0.0,26442752.0,0.0,26442752.0,0.0,1825.514132244
0.0,50.155677795410156,0.0,0.0,33225.52608652253,3.261970554779836e-11,0.0,1774364069.000218,0.0,2.7302901344228303e-06,0.0,0.0,4.416015625,0.0,,0.0,26696704.0,0.0,26696704.0,0.0,1837.102660527
0.0,51.38446044921875,0.0,0.0,33216.423706533424,3.336588297320198e-11,0.0,1774364080.5888352,0.0,3.826456122624222e-06,0.0,0.0,3.9453125,0.0,,0.0,26950656.0,0.0,26950656.0,0.0,1848.698602227
0.0,51.35698699951172,0.0,0.0,33212.78104398734,3.260300709961861e-11,0.0,1774364130.1656973,0.0,2.5135666419373592e-06,0.0,0.0,4.39453125,0.0,"{'path': 'media/html/render_27204608_f94447b6c646345518df.html', 'size': 4700829.0, '_type': 'html-file', 'sha256': 'f94447b6c646345518df537662b8e5e7c3dbc1d5df87860f3ebdd9655951e35f'}",0.0,27204608.0,0.0,27204608.0,0.0,1886.678910145
0.0,51.575042724609375,0.0,0.0,33227.31606547475,3.296963049792545e-11,0.0,1774364130.381199,0.0,3.2435414141218644e-06,0.0,0.0,4.24609375,0.0,,0.0,27458560.0,0.0,27458560.0,0.0,1898.511019804
0.0,49.9068489074707,0.0,0.0,33164.449871609606,3.3727333426103456e-11,0.0,1774364141.9965255,0.0,3.987876880273689e-06,0.0,0.0,4.560546875,0.0,,0.0,27712512.0,0.0,27712512.0,0.0,1910.084493511
0.0,50.698219299316406,0.0,0.0,33279.91775902183,3.408495360956998e-11,0.0,1774364153.5707119,0.0,4.1457869883743115e-06,0.0,0.0,4.056640625,0.0,,0.0,27966464.0,0.0,27966464.0,0.0,1921.66602147
0.0,51.76982879638672,0.0,0.0,33271.44964237667,3.349311106237707e-11,0.0,1774364165.1523604,0.0,3.7557688301603775e-06,0.0,0.0,3.703125,0.0,,0.0,28220416.0,0.0,28220416.0,0.0,1933.252663127
0.0,51.479026794433594,0.0,0.0,33227.90067478582,3.284260016722662e-11,0.0,1774364214.584536,0.0,3.1611325539415702e-06,0.0,0.0,4.388671875,0.0,"{'path': 'media/html/render_28474368_f94447b6c646345518df.html', 'size': 4700829.0, '_type': 'html-file', 'sha256': 'f94447b6c646345518df537662b8e5e7c3dbc1d5df87860f3ebdd9655951e35f'}",0.0,28474368.0,0.0,28474368.0,0.0,1971.097817833
