_runtime,eval/episode_reward_dist,_step,eval/episode_success_hard,eval/episode_reward,training/alpha_loss,training/entropy,eval/episode_success_any,training/sps,step,eval/episode_dist,eval/episode_reward_ctrl,eval/episode_success,eval/episode_success_easy,training/critic_loss,_timestamp,training/actor_loss,render,training/log_alpha,eval/episode_reward_survive,eval/episode_reward_near
720.383469238,-22.830774307250977,17586176.0,0.0,971.2880859375,2.0082739865756594e-05,0.0,0.9990234375,33543.835427996724,17586176.0,22.830774307250977,0.0,971.2880859375,0.0,0.06626757979393005,1773894509.7258697,-96.88400268554688,"{'path': 'media/html/render_17586176_b645d39f29abaa2002cf.html', 'size': 907505, '_type': 'html-file', 'sha256': 'b645d39f29abaa2002cf4fff0b595fe440b148b41b7275952a95f0ab14748a4f'}",0.0,0.0,0.0
728.813509378,-23.691287994384766,17840128.0,0.0,975.783203125,-1.0273205361954751e-06,0.0,1.0,33567.164555078365,17840128.0,23.691287994384766,0.0,975.783203125,0.0,0.06945330649614334,1773894509.8785973,-96.95055389404297,,0.0,0.0,0.0
737.064255521,-23.863018035888672,18094080.0,0.0,974.0595703125,-2.615606490508071e-06,0.0,1.0,33640.292955631245,18094080.0,23.863018035888672,0.0,974.0595703125,0.0,0.07034753262996674,1773894518.1554155,-96.99128723144531,,0.0,0.0,0.0
745.346905418,-26.268592834472656,18348032.0,0.0,965.9892578125,1.3322372979018837e-05,0.0,1.0,33736.229723315584,18348032.0,26.268592834472656,0.0,965.9892578125,0.0,0.07052648067474365,1773894526.406277,-97.1083984375,,0.0,0.0,0.0
753.624380798,-24.262126922607422,18601984.0,0.0,977.4033203125,-1.6356167407138855e-06,0.0,1.0,33588.778388182975,18601984.0,24.262126922607422,0.0,977.4033203125,0.0,0.06820640712976456,1773894534.6888485,-97.1553726196289,,0.0,0.0,0.0
771.066182399,-23.87384033203125,18855936.0,0.0,972.1171875,-4.4874286686535925e-06,0.0,1.0,33610.54628086546,18855936.0,23.87384033203125,0.0,972.1171875,0.0,0.06928657740354538,1773894560.4086099,-97.18172454833984,"{'size': 908649, '_type': 'html-file', 'sha256': 'bd981ee6beed4d99745210928fa97db1f6ee1c81b8811f23208de825e3d6e7e1', 'path': 'media/html/render_18855936_bd981ee6beed4d997452.html'}",0.0,0.0,0.0
779.529880841,-26.96734619140625,19109888.0,0.0,968.5849609375,1.150377829617355e-05,0.0,0.9990234375,33694.02593336145,19109888.0,26.96734619140625,0.0,968.5849609375,0.0,0.05950541794300079,1773894560.5759134,-97.24522399902344,,0.0,0.0,0.0
787.806524358,-24.13755989074707,19363840.0,0.0,975.169921875,1.8744482076726854e-05,0.0,1.0,33553.98065329703,19363840.0,24.13755989074707,0.0,975.169921875,0.0,0.061667680740356445,1773894568.8716176,-97.25447082519531,,0.0,0.0,0.0
796.067940048,-24.324115753173828,19617792.0,0.0,974.8798828125,-6.715097697451711e-06,0.0,1.0,33609.379693653646,19617792.0,24.324115753173828,0.0,974.8798828125,0.0,0.0593276172876358,1773894577.1484573,-97.26008605957031,,0.0,0.0,0.0
804.361479953,-22.005109786987305,19871744.0,0.0,976.2900390625,2.2212256226339377e-05,0.0,1.0,33681.49518594056,19871744.0,22.005109786987305,0.0,976.2900390625,0.0,0.06215595453977585,1773894585.4098666,-97.17125701904297,,0.0,0.0,0.0
821.751978182,-23.266475677490234,20125696.0,0.0,976.865234375,-1.0201931218034588e-05,0.0,0.9990234375,33533.499971839025,20125696.0,23.266475677490234,0.0,976.865234375,0.0,0.06266524642705917,1773894611.0944004,-97.16031646728516,"{'_type': 'html-file', 'sha256': '77e397670dee04ddfda08af3ad5db0e1863698a08ea860594fdf61bb18c952f7', 'path': 'media/html/render_20125696_77e397670dee04ddfda0.html', 'size': 911501}",0.0,0.0,0.0
830.182913512,-22.76433563232422,20379648.0,0.0,978.6484375,-9.612162102712318e-06,0.0,1.0,33625.46876873011,20379648.0,22.76433563232422,0.0,978.6484375,0.0,0.06765397638082504,1773894611.250858,-97.1324234008789,,0.0,0.0,0.0
838.450638713,-23.29421615600586,20633600.0,0.0,978.1533203125,5.499857252289075e-06,0.0,1.0,33641.57644270752,20633600.0,23.29421615600586,0.0,978.1533203125,0.0,0.06290339678525925,1773894619.524308,-97.18994140625,,0.0,0.0,0.0
846.745719965,-23.95276641845703,20887552.0,0.0,976.6484375,-1.0517905138840433e-05,0.0,1.0,33653.08651502379,20887552.0,23.95276641845703,0.0,976.6484375,0.0,0.06671277433633804,1773894627.7924962,-97.14836883544922,,0.0,0.0,0.0
855.022434294,-24.04163360595703,21141504.0,0.0,977.4990234375,2.2570200599147938e-05,0.0,1.0,33523.9811912277,21141504.0,24.04163360595703,0.0,977.4990234375,0.0,0.0657941922545433,1773894636.0876133,-97.22628784179688,,0.0,0.0,0.0
872.522903538,-25.016992568969727,21395456.0,0.0,977.619140625,1.0694841876102146e-05,0.0,1.0,33629.84064595448,21395456.0,25.016992568969727,0.0,977.619140625,0.0,0.05957746505737305,1773894661.8652112,-97.17961120605469,"{'size': 909537, '_type': 'html-file', 'sha256': '57a66f9e33c92d09427c82c22fa0d843c508a00cc3e47d499153360f60e5d691', 'path': 'media/html/render_21395456_57a66f9e33c92d09427c.html'}",0.0,0.0,0.0
