training/alpha_loss,eval/episode_success_any,eval/episode_success_easy,_runtime,eval/episode_dist,eval/episode_reward_survive,training/critic_loss,_timestamp,training/entropy,render,eval/episode_reward_dist,eval/episode_reward_ctrl,eval/episode_reward_near,_step,eval/episode_reward,training/log_alpha,eval/episode_success_hard,training/sps,eval/episode_success,step,training/actor_loss
-3.333964514240506e-06,1.0,0.0,834.394687159,25.200096130371094,0.0,0.045918237417936325,1773889604.092601,0.0,,-25.200096130371094,0.0,0.0,20633600.0,960.853515625,0.0,0.0,33832.64539746927,960.853515625,20633600.0,-97.4612045288086
-4.019778498332016e-05,1.0,0.0,842.569714085,23.227739334106445,0.0,0.05300822854042053,1773889612.308086,0.0,,-23.227739334106445,0.0,0.0,20887552.0,967.3515625,0.0,0.0,33882.029082158566,967.3515625,20887552.0,-97.48334503173828
1.2229210369696375e-05,0.9990234375,0.0,850.81583528,23.821773529052734,0.0,0.04150165617465973,1773889620.4833124,0.0,,-23.821773529052734,0.0,0.0,21141504.0,968.1171875,0.0,0.0,34058.832973368415,968.1171875,21141504.0,-97.49751281738281
-2.3757679628033657e-06,0.9990234375,0.0,868.246119905,24.47856903076172,0.0,0.052780408412218094,1773889646.1602478,0.0,"{'_type': 'html-file', 'sha256': 'e529d10613ca640bec51cc9133faefcae9a01f923e1bf2eca61c41de661a196b', 'path': 'media/html/render_21395456_e529d10613ca640bec51.html', 'size': 906705}",-24.47856903076172,0.0,0.0,21395456.0,973.4208984375,0.0,0.0,33753.847014584244,973.4208984375,21395456.0,-97.47781372070312
1.1363452358637005e-05,1.0,0.0,876.639116121,24.394351959228516,0.0,0.05690551921725273,1773889646.312302,0.0,,-24.394351959228516,0.0,0.0,21649408.0,973.177734375,0.0,0.0,33965.445562717294,973.177734375,21649408.0,-97.41358184814453
-8.236191206378862e-06,1.0,0.0,884.844179711,22.584386825561523,0.0,0.04632120206952095,1773889654.5525634,0.0,,-22.584386825561523,0.0,0.0,21903360.0,975.6826171875,0.0,0.0,33881.35009880651,975.6826171875,21903360.0,-97.49713134765625
1.6617244909866713e-05,1.0,0.0,893.044361012,23.5915584564209,0.0,0.05341010540723801,1773889662.7577116,0.0,,-23.5915584564209,0.0,0.0,22157312.0,976.20703125,0.0,0.0,33921.390836275845,976.20703125,22157312.0,-97.63097381591797
-1.2941583008796442e-05,1.0,0.0,901.253961542,22.99581527709961,0.0,0.04821658506989479,1773889670.9578493,0.0,,-22.99581527709961,0.0,0.0,22411264.0,977.5126953125,0.0,0.0,33960.257288561625,977.5126953125,22411264.0,-97.61761474609375
-3.028976379937376e-06,1.0,0.0,918.701095707,24.07318115234375,0.0,0.03832390531897545,1773889696.6151671,0.0,"{'sha256': '50713e92af3a8c81857c36beb1331610785c482fc279b0d2de2d619e4feaff80', 'path': 'media/html/render_22665216_50713e92af3a8c81857c.html', 'size': 908109, '_type': 'html-file'}",-24.07318115234375,0.0,0.0,22665216.0,976.6103515625,0.0,0.0,33905.06380637437,976.6103515625,22665216.0,-97.6438980102539
-6.234638476598775e-06,1.0,0.0,927.075149165,25.823829650878906,0.0,0.04927576333284378,1773889696.7618802,0.0,,-25.823829650878906,0.0,0.0,22919168.0,969.970703125,0.0,0.0,33910.15210205163,969.970703125,22919168.0,-97.6939468383789
