eval/episode_success_any,training/critic_loss,training/log_alpha,eval/episode_reward_ctrl,eval/episode_success,_runtime,_timestamp,training/alpha_loss,eval/episode_success_hard,training/entropy,eval/episode_success_easy,render,training/actor_loss,eval/episode_reward_survive,eval/episode_dist,eval/episode_reward,step,training/sps,eval/episode_reward_dist,eval/episode_reward_near,_step
1.0,0.03584757447242737,0.0,0.0,974.044921875,978.993653913,1773905159.3257606,4.81368397231563e-06,0.0,0.0,0.0,,-97.90889739990234,0.0,22.991090774536133,974.044921875,24188928.0,33795.324828384684,-22.991090774536133,0.0,24188928.0
0.99609375,0.033987659960985184,0.0,0.0,969.3759765625,987.252142638,1773905167.5813618,1.4330001249618363e-05,0.0,0.0,0.0,,-97.95465850830078,0.0,22.632661819458008,969.3759765625,24442880.0,33729.37230507892,-22.632661819458008,0.0,24442880.0
0.9990234375,0.03067873977124691,0.0,0.0,974.0478515625,995.478262488,1773905175.840062,-4.395929408929078e-06,0.0,0.0,0.0,,-97.97439575195312,0.0,23.65152359008789,974.0478515625,24696832.0,33687.99539302497,-23.65152359008789,0.0,24696832.0
0.9990234375,0.0331728495657444,0.0,0.0,975.03515625,1003.698136837,1773905184.0661244,2.327248512301594e-05,0.0,0.0,0.0,,-97.95445251464844,0.0,23.392847061157227,975.03515625,24950784.0,33832.57232254964,-23.392847061157227,0.0,24950784.0
0.9990234375,0.030884621664881706,0.0,0.0,963.6865234375,1020.599635688,1773905209.1881356,-2.9210408683866262e-05,0.0,0.0,0.0,"{'size': 906365, '_type': 'html-file', 'sha256': '8dd2db89dc54d352ac6adec93b10c331649cca3ad737ed343e7b28acb3150409', 'path': 'media/html/render_25204736_8dd2db89dc54d352ac6a.html'}",-97.93221282958984,0.0,23.45925521850586,963.6865234375,25204736.0,33855.94228845867,-23.45925521850586,0.0,25204736.0
1.0,0.03166680410504341,0.0,0.0,975.8466796875,1029.016462567,1773905209.3454523,1.8953373000840656e-05,0.0,0.0,0.0,,-97.9381103515625,0.0,23.08302879333496,975.8466796875,25458688.0,33847.633499879135,-23.08302879333496,0.0,25458688.0
1.0,0.031241588294506073,0.0,0.0,975.9638671875,1037.233442594,1773905217.603754,4.654010353988269e-06,0.0,0.0,0.0,,-97.90013122558594,0.0,22.96052360534668,975.9638671875,25712640.0,33710.210040931335,-22.96052360534668,0.0,25712640.0
1.0,0.02980164997279644,0.0,0.0,975.7080078125,1045.447020846,1773905225.821396,2.373152483414742e-06,0.0,0.0,0.0,,-97.91203308105469,0.0,21.688007354736328,975.7080078125,25966592.0,33869.06197151328,-21.688007354736328,0.0,25966592.0
0.9990234375,0.029728341847658157,0.0,0.0,966.7470703125,1053.688532974,1773905234.034793,-1.3086425497021992e-05,0.0,0.0,0.0,,-97.92071533203125,0.0,24.883987426757812,966.7470703125,26220544.0,33881.938549472616,-24.883987426757812,0.0,26220544.0
1.0,0.028906121850013733,0.0,0.0,971.8984375,1071.16705638,1773905259.7555208,1.2678137863986194e-05,0.0,0.0,0.0,"{'sha256': '526175c9f95e1957242842df811c32af0263b007979162dd95fad3f194cf461d', 'path': 'media/html/render_26474496_526175c9f95e19572428.html', 'size': 906145, '_type': 'html-file'}",-97.95677185058594,0.0,21.39371681213379,971.8984375,26474496.0,33774.65672110513,-21.39371681213379,0.0,26474496.0
1.0,0.02876412682235241,0.0,0.0,975.75390625,1079.55172999,1773905259.9081619,2.215200765931513e-05,0.0,0.0,0.0,,-97.97684478759766,0.0,21.93435287475586,975.75390625,26728448.0,33717.296611939215,-21.93435287475586,0.0,26728448.0
1.0,0.025223148986697197,0.0,0.0,974.9736328125,1087.78304648,1773905268.139561,-4.173630259174388e-06,0.0,0.0,0.0,,-97.9657211303711,0.0,22.07901382446289,974.9736328125,26982400.0,33829.10055303168,-22.07901382446289,0.0,26982400.0
