eval/episode_success_easy,eval/episode_success_hard,_timestamp,_runtime,eval/episode_reward_dist,training/entropy,eval/episode_reward_near,training/sps,eval/episode_success_any,render,eval/episode_reward_survive,training/alpha_loss,training/log_alpha,eval/episode_reward_ctrl,step,eval/episode_reward,eval/episode_success,_step,eval/episode_dist,training/critic_loss,training/actor_loss
134.4638671875,0.0,1773624135.4867704,3137.021622845,0.0,0.0,0.0,29097.885983749522,0.1416015625,"{'sha256': '2ab3c6fe5857408f1c545ae6e961a388f8f4054402c393e3eb19f85f9778b452', 'path': 'media/html/render_27744256_2ab3c6fe5857408f1c54.html', 'size': 3869141.0, '_type': 'html-file'}",959.45703125,3.470964202278992e-06,0.0,-1966.7249755859375,27744256.0,108.94921875,108.94921875,27744256.0,7297.5927734375,0.22311612963676453,-14.293514251708984
147.591796875,0.0,1773624135.7052493,3160.252318505,0.0,0.0,0.0,29258.23318898217,0.1513671875,,963.8779296875,-1.0127355380973313e-05,0.0,-1958.2188720703125,27998208.0,121.6796875,121.6796875,27998208.0,7179.3232421875,0.2240065038204193,-14.20383071899414
134.5791015625,0.0,1773624158.7165205,3183.09212303,0.0,0.0,0.0,29091.759406291545,0.1376953125,,948.7802734375,1.0769319487735629e-05,0.0,-1906.3203125,28252160.0,98.1611328125,98.1611328125,28252160.0,7043.1708984375,0.21034076809883118,-14.323922157287598
124.8798828125,0.0,1773624181.5563402,3206.077692675,0.0,0.0,0.0,29199.94591263438,0.138671875,,926.423828125,1.9192270883650053e-06,0.0,-1903.913330078125,28506112.0,93.2265625,93.2265625,28506112.0,7321.95703125,0.20454971492290497,-14.285496711730957
162.427734375,0.0,1773624204.541831,3228.927889527,0.0,0.0,0.0,29165.147974440737,0.162109375,,971.8251953125,-2.4300690711243078e-05,0.0,-2069.488525390625,28760064.0,106.751953125,106.751953125,28760064.0,7328.9931640625,0.20100104808807373,-14.430663108825684
130.1787109375,0.0,1773624277.87462,3279.409418999,0.0,0.0,0.0,29218.566626539156,0.1357421875,"{'path': 'media/html/render_29014016_87c6278a6c5b71d99da7.html', 'size': 3867637.0, '_type': 'html-file', 'sha256': '87c6278a6c5b71d99da730933a2a0ff0202a869c049822e147ddc2fa1e978bc0'}",950.060546875,3.2727413781685755e-05,0.0,-1907.846923828125,29014016.0,105.369140625,105.369140625,29014016.0,7590.208984375,0.2227458357810974,-14.231657028198242
136.1015625,0.0,1773624278.0875459,3302.496210571,0.0,0.0,0.0,29151.355886861136,0.1337890625,,959.0302734375,-1.5315255950554274e-05,0.0,-1950.8709716796875,29267968.0,95.5927734375,95.5927734375,29267968.0,7435.224609375,0.2207775115966797,-14.208126068115234
132.26953125,0.0,1773624300.960769,3325.505107755,0.0,0.0,0.0,29186.667124672156,0.134765625,,980.5830078125,-5.834544936078601e-06,0.0,-2108.19677734375,29521920.0,112.466796875,112.466796875,29521920.0,7600.484375,0.22006821632385254,-14.30045223236084
120.8173828125,0.0,1773624323.9695134,3348.347064488,0.0,0.0,0.0,29105.954844219406,0.12890625,,935.275390625,1.0691310308175161e-05,0.0,-1847.6707763671875,29775872.0,83.189453125,83.189453125,29775872.0,7397.80859375,0.214565709233284,-14.29804515838623
128.3916015625,0.0,1773624346.8115146,3371.346783958,0.0,0.0,0.0,29249.449163344765,0.12890625,,955.3291015625,7.503756933147088e-06,0.0,-1977.7626953125,30029824.0,92.142578125,92.142578125,30029824.0,7414.4521484375,0.2085600346326828,-14.507645606994629
