training/entropy,render,training/sps,eval/episode_reward_dist,training/alpha_loss,eval/episode_success_any,eval/episode_success_easy,eval/episode_reward_ctrl,training/critic_loss,_timestamp,eval/episode_reward,eval/episode_reward_survive,eval/episode_dist,eval/episode_reward_near,_step,eval/episode_success,_runtime,training/actor_loss,step,training/log_alpha,eval/episode_success_hard
0.0,,28946.257004314604,0.0,-1.5666619219700806e-05,0.12890625,125.1298828125,-1729.901123046875,0.10189308226108551,1773547419.396501,101.7646484375,837.1533203125,6252.3828125,0.0,15808512.0,101.7646484375,1787.845207387,-15.373031616210938,15808512.0,0.0,0.0
0.0,,28735.097868389086,0.0,1.630609949643258e-05,0.1533203125,164.962890625,-1744.3216552734375,0.09386124461889267,1773547442.4975722,118.47265625,829.130859375,5996.810546875,0.0,16062464.0,118.47265625,1810.788160467,-15.494242668151855,16062464.0,0.0,0.0
0.0,"{'_type': 'html-file', 'sha256': '9d2afd8c070f257c207e7faddf6a2ff63fdd5fe2fc5873c07e1ba198d65fc723', 'path': 'media/html/render_16316416_9d2afd8c070f257c207e.html', 'size': 3860141.0}",28907.94516176737,0.0,-1.8534589685259562e-07,0.1611328125,159.12890625,-1768.791259765625,0.0886203944683075,1773547515.3178008,131.759765625,843.3740234375,6246.490234375,0.0,16316416.0,131.759765625,1860.664788604,-15.481334686279297,16316416.0,0.0,0.0
0.0,,28743.158333814565,0.0,1.0508400009712204e-05,0.154296875,148.4990234375,-1826.0045166015625,0.09441637247800827,1773547515.5138476,134.869140625,876.2314453125,6143.939453125,0.0,16570368.0,134.869140625,1883.883348809,-15.469427108764648,16570368.0,0.0,0.0
0.0,,28744.396300689248,0.0,4.407796154737298e-07,0.1669921875,146.6328125,-1474.493896484375,0.09503526240587234,1773547538.535737,131.06640625,679.884765625,4504.28857421875,0.0,16824320.0,131.06640625,1907.001551789,-15.487643241882324,16824320.0,0.0,0.0
0.0,,28726.21449677851,0.0,6.67729000269901e-06,0.1533203125,149.634765625,-1659.6873779296875,0.1001201942563057,1773547561.653962,130.57421875,777.3271484375,5624.56640625,0.0,17078272.0,130.57421875,1929.977723953,-15.405115127563477,17078272.0,0.0,0.0
0.0,,28869.403614660292,0.0,1.3482364010997117e-05,0.1552734375,152.255859375,-1916.361328125,0.09633999317884445,1773547584.6300855,128.9609375,919.7265625,6797.76416015625,0.0,17332224.0,128.9609375,1953.079281991,-15.448596000671387,17332224.0,0.0,0.0
0.0,"{'path': 'media/html/render_17586176_ff90742ea9ffccf4ea43.html', 'size': 3860821.0, '_type': 'html-file', 'sha256': 'ff90742ea9ffccf4ea43fb1f7f1ce110bdee2cc8065a383bcba6912e08d8285b'}",28728.237435420244,0.0,1.5985600839485414e-05,0.1533203125,153.490234375,-1941.072509765625,0.09008269757032394,1773547657.4123883,122.7119140625,943.6328125,7050.02392578125,0.0,17586176.0,122.7119140625,2002.759379537,-15.501521110534668,17586176.0,0.0,0.0
0.0,,28859.348549840288,0.0,-2.1922706139321235e-07,0.1474609375,153.0986328125,-1909.0048828125,0.09688504785299301,1773547657.612191,114.11328125,883.4599609375,6368.58984375,0.0,17840128.0,114.11328125,2026.093195973,-15.47904109954834,17840128.0,0.0,0.0
0.0,,28662.711096880168,0.0,1.3827391740051098e-05,0.1279296875,153.564453125,-1992.0958251953125,0.09198830276727676,1773547680.7457085,83.7353515625,965.4111328125,6820.779296875,0.0,18094080.0,83.7353515625,2049.056039675,-15.508939743041992,18094080.0,0.0,0.0
