training/actor_loss,_runtime,_timestamp,eval/episode_reward_survive,_step,render,training/alpha_loss,training/sps,eval/episode_reward,eval/episode_reward_ctrl,training/entropy,eval/episode_success_hard,step,eval/episode_success_any,eval/episode_reward_dist,eval/episode_success_easy,training/log_alpha,training/critic_loss,eval/episode_reward_near,eval/episode_success,eval/episode_dist
-6.747162342071533,1931.875575689,1773599773.4296355,808.4130859375,17078272.0,,2.841767854988575e-05,28947.18447673807,41.9375,-1642.6663818359375,0.0,0.0,17078272.0,0.078125,0.0,92.8623046875,0.0,0.3110593855381012,0.0,41.9375,6574.791015625
-6.641430377960205,1954.948943655,1773599796.3115983,869.34375,17332224.0,,-4.545715273707174e-05,29124.944008320726,83.8671875,-1749.8677978515625,0.0,0.0,17332224.0,0.1259765625,0.0,120.552734375,0.0,0.31513530015945435,0.0,83.8671875,6689.3916015625
-7.017349720001221,2004.63124053,1773599869.0682194,846.501953125,17586176.0,"{'sha256': 'c89190096ee6f61027ab6c9db746b6d1c16c04094361c3fcf5e88e0bdf5f70a1', 'path': 'media/html/render_17586176_c89190096ee6f61027ab.html', 'size': 3858233.0, '_type': 'html-file'}",1.7783042494556867e-05,28913.29838104546,48.9228515625,-1754.6683349609375,0.0,0.0,17586176.0,0.09765625,0.0,85.3291015625,0.0,0.307431161403656,0.0,48.9228515625,6897.35302734375
-7.1451616287231445,2027.926491787,1773599869.2738855,790.119140625,17840128.0,,-8.258091838797554e-06,29116.161027734288,41.0556640625,-1580.974609375,0.0,0.0,17840128.0,0.078125,0.0,71.7041015625,0.0,0.2986072301864624,0.0,41.0556640625,6414.5478515625
-7.307531833648682,2050.802521467,1773599892.3628778,758.396484375,18094080.0,,8.505072401021607e-06,28888.790420855894,41.05078125,-1642.37109375,0.0,0.0,18094080.0,0.0869140625,0.0,80.4677734375,0.0,0.29718056321144104,0.0,41.05078125,6146.7890625
-7.160019874572754,2073.852747207,1773599915.2382877,867.623046875,18348032.0,,-3.8892139855306596e-06,29151.454019290475,58.4453125,-1693.565673828125,0.0,0.0,18348032.0,0.1083984375,0.0,101.00390625,0.0,0.32539209723472595,0.0,58.4453125,6906.3720703125
-7.359628200531006,2096.711095117,1773599938.2891407,863.82421875,18601984.0,,2.1260484572849236e-05,28980.930095013424,43.5498046875,-1785.0394287109375,0.0,0.0,18601984.0,0.0849609375,0.0,99.876953125,0.0,0.3138616681098938,0.0,43.5498046875,6967.6474609375
-7.577421188354492,2146.55312369,1773600010.9901357,859.833984375,18855936.0,"{'path': 'media/html/render_18855936_48cc525abd23244b1cf5.html', 'size': 3863437.0, '_type': 'html-file', 'sha256': '48cc525abd23244b1cf5108be519c4098c179b893bc094b863612ab6d0b65c92'}",-1.800097197701689e-05,29175.18315110209,74.8271484375,-1761.466796875,0.0,0.0,18855936.0,0.134765625,0.0,126.7783203125,0.0,0.29668959975242615,0.0,74.8271484375,6552.3095703125
-7.597100734710693,2170.035917831,1773600011.5878396,915.7880859375,19109888.0,,3.1171191494649975e-06,28970.790901814256,52.6474609375,-1880.9537353515625,0.0,0.0,19109888.0,0.109375,0.0,91.75,0.0,0.30549556016921997,0.0,52.6474609375,7127.1455078125
-7.578444480895996,2193.094169915,1773600034.4721339,769.1318359375,19363840.0,,-1.9801623238890897e-06,29121.34164482809,65.6650390625,-1722.0037841796875,0.0,0.0,19363840.0,0.107421875,0.0,119.9189453125,0.0,0.31509310007095337,0.0,65.6650390625,5812.3486328125
