eval/episode_reward_ctrl,training/actor_loss,training/alpha_loss,eval/episode_success_hard,_timestamp,eval/episode_reward_survive,eval/episode_reward_near,step,training/entropy,eval/episode_dist,training/log_alpha,eval/episode_success_easy,training/critic_loss,eval/episode_success,_runtime,training/sps,_step,render,eval/episode_reward,eval/episode_reward_dist,eval/episode_success_any
-1994.95947265625,3.1784660816192627,-6.41779138277343e-07,0.0,1774879548.637687,872.6494140625,0.0,15300608.0,-4.000164985656738,5199.796875,-4.485725402832031,239.6103515625,3.3975367546081543,154.3486328125,1716.925781414,27831.512386183385,15300608.0,,154.3486328125,0.0,0.248046875
-1897.099853515625,3.184086322784424,5.042156203671766e-07,0.0,1774879572.1142945,825.2431640625,0.0,15554560.0,-4.000073432922363,4847.1123046875,-4.499053478240967,228.556640625,3.410391092300415,146.068359375,1740.434483005,27576.00758804223,15554560.0,,146.068359375,0.0,0.2333984375
-1606.351318359375,3.182037591934204,-1.5624185834894888e-05,0.0,1774879595.6231194,730.755859375,0.0,15808512.0,-4.001501083374023,3885.001953125,-4.503511428833008,214.1455078125,3.407749891281128,145.1171875,1763.877015725,27716.518852208468,15808512.0,,145.1171875,0.0,0.23828125
-2071.9697265625,3.1945629119873047,9.579908692103345e-06,0.0,1774879619.0655308,832.763671875,0.0,16062464.0,-3.999258041381836,5022.845703125,-4.494339942932129,229.0517578125,3.418938398361206,131.845703125,1787.460665476,27575.486434264614,16062464.0,,131.845703125,0.0,0.224609375
-2028.26025390625,3.201570510864258,1.0217267117695883e-05,0.0,1774879692.554015,886.6845703125,0.0,16316416.0,-3.9991846084594727,5347.826171875,-4.499844074249268,208.9375,3.4321932792663574,142.5576171875,1837.364913055,27788.39877975974,16316416.0,"{'_type': 'html-file', 'sha256': 'c76315f891d90136c825fcf832fcbdb13a777485c709593d2e41ecc436ae2751', 'path': 'media/html/render_16316416_c76315f891d90136c825.html', 'size': 3737309.0}",142.5576171875,0.0,0.203125
-2091.831787109375,3.2125844955444336,-7.022733370831702e-06,0.0,1774879692.7613664,929.599609375,0.0,16570368.0,-4.000735282897949,5577.4775390625,-4.515664100646973,238.9697265625,3.445690631866455,150.4931640625,1861.161103475,27618.751329413397,16570368.0,,150.4931640625,0.0,0.240234375
-1832.61767578125,3.2130417823791504,2.9768430977128446e-05,0.0,1774879716.3497517,834.90234375,0.0,16824320.0,-3.997393846511841,4897.3740234375,-4.510660648345947,209.2119140625,3.444286584854126,116.013671875,1884.618023361,27778.047998264185,16824320.0,,116.013671875,0.0,0.1923828125
-1807.0841064453125,3.222653388977051,7.025699687801534e-06,0.0,1774879739.8064735,844.05859375,0.0,17078272.0,-3.999450445175171,5135.7392578125,-4.521183013916016,225.5517578125,3.453965187072754,131.1171875,1908.042547155,27526.21800508912,17078272.0,,131.1171875,0.0,0.2109375
-1700.24169921875,3.234121561050415,-1.1002909559465479e-05,0.0,1774879763.2312098,799.1171875,0.0,17332224.0,-4.0011210441589355,4483.33740234375,-4.53154993057251,207.5400390625,3.470132350921631,133.8056640625,1931.669447824,27781.430738615163,17332224.0,,133.8056640625,0.0,0.21484375
-1708.07568359375,3.234374523162842,-1.842217898229137e-05,0.0,1774879836.8721724,765.861328125,0.0,17586176.0,-4.001784324645996,4208.8955078125,-4.524135589599609,229.7041015625,3.4640448093414307,130.5888671875,1981.682994451,27646.741980914685,17586176.0,"{'sha256': '0c493cf9f51fcff3fcf5a8d11730b1e931b71d94314243d8cc096a401b7f78f3', 'path': 'media/html/render_17586176_0c493cf9f51fcff3fcf5.html', 'size': 3852933.0, '_type': 'html-file'}",130.5888671875,0.0,0.2236328125
-1296.681640625,3.235816717147827,2.7686830435413867e-05,0.0,1774879837.0745177,623.8056640625,0.0,17840128.0,-3.997579574584961,3066.342529296875,-4.531874656677246,219.4892578125,3.467240571975708,134.2353515625,2005.429482577,27652.308011714704,17840128.0,,134.2353515625,0.0,0.2255859375
-1612.1199951171875,3.2544496059417725,2.4918812414398417e-05,0.0,1774879860.6181023,741.81640625,0.0,18094080.0,-3.99776029586792,3871.7041015625,-4.539799690246582,238.6220703125,3.4905402660369873,143.123046875,2028.868690209,27605.979909029884,18094080.0,,143.123046875,0.0,0.2333984375
-1463.023681640625,3.2612149715423584,-2.7081665393779986e-05,0.0,1774879884.057216,710.662109375,0.0,18348032.0,-4.002649784088135,3468.36669921875,-4.55263090133667,220.7080078125,3.495826005935669,119.3017578125,2052.364664418,27646.35807559679,18348032.0,,119.3017578125,0.0,0.2314453125
-1779.157958984375,3.2617387771606445,2.7819982278742827e-05,0.0,1774879907.5532508,816.92578125,0.0,18601984.0,-3.997481107711792,4854.1953125,-4.549579620361328,194.10546875,3.493265151977539,134.8408203125,2075.633493265,27730.550733982884,18601984.0,,134.8408203125,0.0,0.1904296875
-1726.8365478515625,3.2669100761413574,-3.703976972246892e-06,0.0,1774879980.8273082,805.30859375,0.0,18855936.0,-4.0004472732543945,4596.529296875,-4.5559539794921875,232.123046875,3.4986538887023926,130.5556640625,2125.638154569,27690.277726064858,18855936.0,"{'sha256': 'bfa4f890e8ff0b2fbf8257ae3ee93c8ff319f72c7f191c67c06346b92acd8a7b', 'path': 'media/html/render_18855936_bfa4f890e8ff0b2fbf82.html', 'size': 3772877.0, '_type': 'html-file'}",130.5556640625,0.0,0.2119140625
