training/alpha_loss,eval/episode_reward,training/critic_loss,eval/episode_success_hard,training/log_alpha,training/sps,_timestamp,eval/episode_reward_ctrl,training/entropy,eval/episode_reward_survive,training/actor_loss,eval/episode_success_any,_step,eval/episode_dist,render,eval/episode_success,step,eval/episode_reward_near,_runtime,eval/episode_success_easy,eval/episode_reward_dist
4.1315146518172696e-05,143.0078125,3.2184152603149414,0.0,-4.401750087738037,27766.881894260285,1774850464.9469733,-1486.16845703125,-3.996767044067383,822.9091796875,2.9974558353424072,0.216796875,16824320.0,4230.9345703125,,143.0078125,16824320.0,0.0,1884.112565112,270.44140625,0.0
-2.3267923097591847e-05,149.595703125,3.2229788303375244,0.0,-4.421909809112549,27478.401236057634,1774850488.4284863,-1672.42529296875,-4.001999378204346,858.6396484375,2.9992878437042236,0.20703125,17078272.0,4608.103515625,,149.595703125,17078272.0,0.0,1907.556760832,266.6708984375,0.0
4.37425660493318e-05,178.4814453125,3.2229673862457275,0.0,-4.4198174476623535,27751.172597527555,1774850511.872763,-1886.88134765625,-3.9964940547943115,904.4794921875,3.0037717819213867,0.2431640625,17332224.0,4745.8076171875,,178.4814453125,17332224.0,0.0,1931.198418329,320.4453125,0.0
1.5350888133980334e-05,171.1513671875,3.220209836959839,0.0,-4.4376091957092285,27610.09951640484,1774850585.3666127,-1580.271484375,-3.998795986175537,827.8984375,2.999624252319336,0.2509765625,17586176.0,4075.039306640625,"{'path': 'media/html/render_17586176_017069e106f8b476b84e.html', 'size': 3790573.0, '_type': 'html-file', 'sha256': '017069e106f8b476b84e1564bbd18dc72112788c449c90b43af79ce3da1a08be'}",171.1513671875,17586176.0,0.0,1981.049984378,286.224609375,0.0
-2.7004254661733285e-05,173.7412109375,3.226593255996704,0.0,-4.448376178741455,27618.95184942542,1774850585.5703242,-1713.5810546875,-4.002387523651123,895.55078125,3.0039684772491455,0.2470703125,17840128.0,4916.14208984375,,173.7412109375,17840128.0,0.0,2004.802500492,262.5302734375,0.0
2.175969166273717e-05,186.869140625,3.2242202758789062,0.0,-4.440263271331787,27618.812917392996,1774850609.1184652,-1556.9755859375,-3.998270273208618,792.9541015625,3.0049996376037598,0.255859375,18094080.0,3553.028076171875,,186.869140625,18094080.0,0.0,2028.252404923,320.0634765625,0.0
2.703979225771036e-05,202.0908203125,3.2332425117492676,0.0,-4.442672252655029,27618.112549358717,1774850632.5683997,-1398.4093017578125,-3.997771978378296,726.3310546875,3.0085952281951904,0.2900390625,18348032.0,3339.93359375,,202.0908203125,18348032.0,0.0,2051.766318802,294.2236328125,0.0
3.0730661819688976e-06,202.7314453125,3.2319602966308594,0.0,-4.474273681640625,27693.126472593005,1774850656.0821905,-1576.4566650390625,-3.9998278617858887,821.6630859375,3.0104563236236572,0.2880859375,18601984.0,3962.91259765625,,202.7314453125,18601984.0,0.0,2075.01682624,312.255859375,0.0
-3.136683881166391e-05,163.578125,3.2273027896881104,0.0,-4.468122959136963,27670.10203455095,1774850729.1891663,-1692.19921875,-4.002811908721924,852.61328125,3.0116055011749268,0.220703125,18855936.0,4362.90234375,"{'size': 3811337.0, '_type': 'html-file', 'sha256': 'b58eaf13cebc7af8f65a0ed247fb98158d10190ab071151f1292b23655d883d2', 'path': 'media/html/render_18855936_b58eaf13cebc7af8f65a.html'}",163.578125,18855936.0,0.0,2124.87258887,301.3134765625,0.0
2.6142770366277546e-05,203.548828125,3.2340996265411377,0.0,-4.455195426940918,27804.161149254374,1774850729.405585,-1454.0264892578125,-3.9978625774383545,778.44921875,3.0165154933929443,0.2783203125,19109888.0,3686.010498046875,,203.548828125,19109888.0,0.0,2148.391218903,303.8818359375,0.0
3.722586825460894e-07,149.26953125,3.2189552783966064,0.0,-4.4662861824035645,27515.45384409957,1774850752.707089,-1716.9755859375,-4.000075817108154,884.9755859375,3.017244338989258,0.2119140625,19363840.0,4842.3603515625,,149.26953125,19363840.0,0.0,2171.984000155,279.9130859375,0.0
5.63262665309594e-06,168.4189453125,3.231048345565796,0.0,-4.459103584289551,27814.300434386972,1774850776.300066,-1585.27587890625,-3.999629020690918,830.248046875,3.0195884704589844,0.2294921875,19617792.0,4517.6298828125,,168.4189453125,19617792.0,0.0,2195.659805372,281.013671875,0.0
-1.63784934557043e-05,188.42578125,3.227158546447754,0.0,-4.46253776550293,27502.34813085192,1774850799.9756444,-1722.30224609375,-4.001520156860352,840.2294921875,3.0195744037628174,0.27734375,19871744.0,4227.318359375,,188.42578125,19871744.0,0.0,2219.410915859,287.63671875,0.0
1.04277171431022e-06,165.1435546875,3.231168031692505,0.0,-4.468592643737793,27544.043093944998,1774850873.8777473,-1392.589599609375,-4.00001859664917,716.033203125,3.0242674350738525,0.21484375,20125696.0,3387.417724609375,"{'_type': 'html-file', 'sha256': 'ee04c7569e0c5ddda15f7a46e5f2c8ae5df7efffd4229eda6c6ebb3deab05afc', 'path': 'media/html/render_20125696_ee04c7569e0c5ddda15f.html', 'size': 3820801.0}",165.1435546875,20125696.0,0.0,2269.561151987,262.384765625,0.0
1.4648328942712396e-05,186.3857421875,3.214331865310669,0.0,-4.46035099029541,27518.465083582458,1774850874.1139045,-1515.744384765625,-3.998844861984253,752.9013671875,3.016869306564331,0.26953125,20379648.0,3379.79248046875,,186.3857421875,20379648.0,0.0,2293.363925805,290.4111328125,0.0
-2.777570807666052e-05,212.4853515625,3.23246169090271,0.0,-4.4661545753479,27773.38784610126,1774850897.6798618,-1613.3291015625,-4.002477169036865,796.3505859375,3.0315475463867188,0.3095703125,20633600.0,3460.2763671875,,212.4853515625,20633600.0,0.0,2316.760292009,324.3955078125,0.0
