training/sps,eval/episode_success,eval/episode_reward_ctrl,eval/episode_success_any,training/log_alpha,_runtime,step,eval/episode_reward_near,eval/episode_reward,training/actor_loss,training/entropy,training/critic_loss,_step,eval/episode_success_easy,eval/episode_dist,eval/episode_reward_survive,training/alpha_loss,render,eval/episode_success_hard,_timestamp,eval/episode_reward_dist
22377.549535212092,193.2900390625,-1690.8023681640625,0.26953125,0.0,1873.99886314,15046656.0,0.0,193.2900390625,-34.8392219543457,0.0,0.9500129818916321,15046656.0,222.919921875,6016.84716796875,888.6611328125,2.7019743356504478e-05,"{'path': 'media/html/render_15046656_2123d01ad5d374544235.html', 'size': 3855729.0, '_type': 'html-file', 'sha256': '2123d01ad5d374544235a401e0066b488f62a63b9618d3809e7eb26f36aefc08'}",0.0,1773908305.66503,0.0
22516.35927780272,162.8359375,-1604.4912109375,0.232421875,0.0,1899.946500588,15300608.0,0.0,162.8359375,-35.641544342041016,0.0,0.9495121836662292,15300608.0,182.619140625,6262.4345703125,879.33984375,-7.83702762419125e-06,,0.0,1773908305.9307919,0.0
22369.569186530163,194.49609375,-1669.150634765625,0.265625,0.0,1925.370939432,15554560.0,0.0,194.49609375,-35.29387664794922,0.0,0.9327564239501953,15554560.0,222.1396484375,5832.5556640625,871.25390625,2.6143641207454493e-06,,0.0,1773908331.612031,0.0
22609.06009238294,238.1796875,-1692.159423828125,0.3095703125,0.0,1951.008097774,15808512.0,0.0,238.1796875,-36.41746139526367,0.0,0.9462672472000122,15808512.0,269.7666015625,5841.0,911.0751953125,1.1370271749910899e-05,,0.0,1773908357.036557,0.0
22449.746125531405,145.6953125,-1599.0364990234375,0.205078125,0.0,1976.46827117,16062464.0,0.0,145.6953125,-36.46995544433594,0.0,0.9730278849601746,16062464.0,170.4208984375,6161.5849609375,855.7744140625,-5.627613063552417e-05,,0.0,1773908382.6737287,0.0
22526.3396747322,166.4111328125,-1466.5438232421875,0.228515625,0.0,2028.375176479,16316416.0,0.0,166.4111328125,-36.4639778137207,0.0,0.9058302640914917,16316416.0,188.41796875,5280.34765625,765.3505859375,2.288811629114207e-05,"{'_type': 'html-file', 'sha256': '0ecda734ee9ffb936a4506028dcc371141af45a0ad252f47d8e492edef760270', 'path': 'media/html/render_16316416_0ecda734ee9ffb936a45.html', 'size': 3860493.0}",0.0,1773908460.0413337,0.0
22521.160040303956,244.6689453125,-1713.1700439453125,0.3095703125,0.0,2054.041219463,16570368.0,0.0,244.6689453125,-37.987796783447266,0.0,0.9076731204986572,16570368.0,265.169921875,5866.9267578125,923.6494140625,1.6946181858656928e-05,,0.0,1773908460.2476645,0.0
22551.542604248323,219.919921875,-1641.64990234375,0.26953125,0.0,2079.680045379,16824320.0,0.0,219.919921875,-38.39472198486328,0.0,0.9149207472801208,16824320.0,241.296875,5692.2744140625,887.642578125,-0.00010784615005832165,,0.0,1773908485.70686,0.0
22449.113050489414,195.869140625,-1641.361083984375,0.2607421875,0.0,2105.129976549,17078272.0,0.0,195.869140625,-38.02703094482422,0.0,0.9020907282829285,17078272.0,224.166015625,5935.6171875,889.9296875,0.0001384928764309734,,0.0,1773908511.3454769,0.0
22579.022610779466,235.6240234375,-1622.00732421875,0.3017578125,0.0,2130.751312616,17332224.0,0.0,235.6240234375,-38.35297775268555,0.0,0.9066112637519836,17332224.0,256.5859375,5521.7509765625,883.650390625,-2.9977658414281905e-05,,0.0,1773908536.7955673,0.0
22480.392124711452,190.26171875,-1610.218994140625,0.25390625,0.0,2182.51742342,17586176.0,0.0,190.26171875,-38.75514221191406,0.0,0.8951316475868225,17586176.0,212.26171875,5728.8994140625,848.9208984375,-6.5570925471547525e-06,"{'_type': 'html-file', 'sha256': 'e1e3df4642d8aa4c63e33f48885650253509689e1c515b0b9e0d7989b911f6d6', 'path': 'media/html/render_17586176_e1e3df4642d8aa4c63e3.html', 'size': 3847337.0}",0.0,1773908614.1836183,0.0
22615.592499403374,155.6435546875,-1472.84375,0.2177734375,0.0,2208.360745421,17840128.0,0.0,155.6435546875,-39.387237548828125,0.0,0.8925929665565491,17840128.0,175.3857421875,5791.85498046875,823.8935546875,2.5745843231561594e-05,,0.0,1773908614.387309,0.0
22461.487666890625,166.5595703125,-1570.445068359375,0.2353515625,0.0,2233.788521666,18094080.0,0.0,166.5595703125,-39.814151763916016,0.0,0.8745846152305603,18094080.0,184.9580078125,5896.48046875,838.330078125,5.759397390647791e-05,,0.0,1773908640.0263398,0.0
22612.429993630998,199.603515625,-1608.467041015625,0.2900390625,0.0,2259.407247992,18348032.0,0.0,199.603515625,-39.882266998291016,0.0,0.9059306979179382,18348032.0,227.4814453125,5714.189453125,858.0673828125,-2.9102755433996208e-05,,0.0,1773908665.4538147,0.0
22552.636528176878,273.896484375,-1756.76953125,0.330078125,0.0,2284.815709777,18601984.0,0.0,273.896484375,-40.460899353027344,0.0,0.9027702808380127,18601984.0,290.595703125,6064.529296875,953.875,-7.701767754042521e-05,,0.0,1773908691.0722842,0.0
22635.044997322857,232.87890625,-1702.9359130859375,0.2919921875,0.0,2336.819738269,18855936.0,0.0,232.87890625,-40.40053939819336,0.0,0.9160397052764893,18855936.0,256.5029296875,5941.56640625,897.9560546875,0.0001216584860230796,"{'sha256': '64ca1753d35990b8d4c4d9e89da250c8ff86deec0ad674109bb2cc890f1c0afe', 'path': 'media/html/render_18855936_64ca1753d35990b8d4c4.html', 'size': 3854785.0, '_type': 'html-file'}",0.0,1773908768.4859405,0.0
22509.31275930359,205.9521484375,-1714.3936767578125,0.2529296875,0.0,2362.463491845,19109888.0,0.0,205.9521484375,-40.42304992675781,0.0,0.9098233580589294,19109888.0,225.4970703125,6204.69873046875,884.8134765625,-6.464207399403676e-05,,0.0,1773908768.6989489,0.0
22614.924588240418,232.60546875,-1635.06298828125,0.3017578125,0.0,2388.080715057,19363840.0,0.0,232.60546875,-40.53530502319336,0.0,0.9385566115379333,19363840.0,260.7880859375,5449.2158203125,873.841796875,6.317882798612118e-05,,0.0,1773908794.1291716,0.0
22483.667773817087,193.9599609375,-1530.1568603515625,0.26953125,0.0,2413.479508236,19617792.0,0.0,193.9599609375,-40.919742584228516,0.0,0.9319775700569153,19617792.0,221.0537109375,5100.70458984375,782.0986328125,-5.1963805162813514e-05,,0.0,1773908819.7463586,0.0
22646.255599455624,219.4453125,-1649.43408203125,0.3154296875,0.0,2439.060884638,19871744.0,0.0,219.4453125,-41.981040954589844,0.0,0.9521321058273315,19871744.0,252.0810546875,5662.24072265625,883.5947265625,1.8087484932038933e-05,,0.0,1773908845.1451304,0.0
22559.89224915574,231.0458984375,-1707.8009033203125,0.3046875,0.0,2490.791459237,20125696.0,0.0,231.0458984375,-41.750572204589844,0.0,0.952449381351471,20125696.0,265.658203125,5671.052734375,896.1884765625,-4.837006417801604e-05,"{'path': 'media/html/render_20125696_56e254e2fc892cec12c1.html', 'size': 3872145.0, '_type': 'html-file', 'sha256': '56e254e2fc892cec12c1c5393974ab677c893b6eadfcdc5cff6a6fca59448f4f'}",0.0,1773908922.4576468,0.0
22630.329227693448,215.03125,-1604.0303955078125,0.2939453125,0.0,2516.617161784,20379648.0,0.0,215.03125,-41.91152572631836,0.0,0.9562110900878906,20379648.0,236.28125,5811.748046875,882.7119140625,5.567818516283296e-05,,0.0,1773908922.659852,0.0
22497.933165827544,228.7021484375,-1613.4918212890625,0.2900390625,0.0,2542.025574518,20633600.0,0.0,228.7021484375,-42.26925277709961,0.0,0.9530616998672485,20633600.0,251.30078125,5560.25341796875,871.9658203125,-3.199444472556934e-05,,0.0,1773908948.2827015,0.0
22656.45656515157,243.890625,-1728.4033203125,0.3193359375,0.0,2567.603843328,20887552.0,0.0,243.890625,-42.54828643798828,0.0,0.9719491600990295,20887552.0,274.6611328125,6040.3388671875,932.73046875,2.5194676709361374e-05,,0.0,1773908973.6910355,0.0
22572.338147372408,202.3740234375,-1679.8388671875,0.263671875,0.0,2593.016960184,21141504.0,0.0,202.3740234375,-42.553977966308594,0.0,0.9728784561157227,21141504.0,225.564453125,6155.658203125,909.1552734375,-5.032005356042646e-05,,0.0,1773908999.269558,0.0
22642.910747295085,181.2099609375,-1537.32763671875,0.2314453125,0.0,2645.102560936,21395456.0,0.0,181.2099609375,-42.91790771484375,0.0,0.9944123029708862,21395456.0,194.853515625,6154.07421875,867.5810546875,5.137632615515031e-05,"{'_type': 'html-file', 'sha256': 'eb684bcf78a4ec0004c6eb510ed030ce26c827eb821860c4f6c81e390fa27893', 'path': 'media/html/render_21395456_eb684bcf78a4ec0004c6.html', 'size': 3857485.0}",0.0,1773909076.7687445,0.0
22550.07640650546,231.53125,-1698.4951171875,0.2890625,0.0,2670.775523874,21649408.0,0.0,231.53125,-42.79751205444336,0.0,0.9952290654182434,21649408.0,252.77734375,6102.65673828125,918.4443359375,-4.890635682386346e-05,,0.0,1773909077.0114882,0.0
22609.34851777161,204.130859375,-1521.145751953125,0.2431640625,0.0,2696.346921858,21903360.0,0.0,204.130859375,-43.50959396362305,0.0,1.0070537328720093,21903360.0,215.9091796875,6037.75048828125,876.712890625,5.8249668654752895e-05,,0.0,1773909102.4410682,0.0
22588.980562971155,203.23828125,-1638.0054931640625,0.2451171875,0.0,2721.773303872,22157312.0,0.0,203.23828125,-43.97998046875,0.0,1.0091737508773804,22157312.0,219.552734375,6069.828125,884.068359375,8.185043952835258e-06,,0.0,1773909128.0123587,0.0
22623.57207012146,227.9296875,-1654.8662109375,0.2802734375,0.0,2747.336590987,22411264.0,0.0,227.9296875,-44.20359802246094,0.0,1.0165016651153564,22411264.0,247.939453125,6065.33447265625,920.0390625,2.330973802600056e-05,,0.0,1773909153.438822,0.0
