eval/episode_success_easy,training/sps,_timestamp,training/critic_loss,eval/episode_success,eval/episode_success_hard,eval/episode_reward_dist,_runtime,_step,training/log_alpha,render,training/entropy,step,eval/episode_reward_survive,eval/episode_success_any,training/actor_loss,training/alpha_loss,eval/episode_reward,eval/episode_reward_near,eval/episode_dist,eval/episode_reward_ctrl
256.0693359375,22083.70882015525,1773952643.655816,0.9065977931022644,230.1083984375,0.0,0.0,1808.979341145,14538752.0,0.0,,0.0,14538752.0,932.3447265625,0.302734375,-33.07229232788086,-3.707868745550513e-05,230.1083984375,0.0,6037.5576171875,-1789.95947265625
263.7841796875,22190.492848649024,1773952669.265304,0.8820267915725708,242.9013671875,0.0,0.0,1834.771968251,14792704.0,0.0,,0.0,14792704.0,908.046875,0.3173828125,-33.67213439941406,9.217571641784161e-05,242.9013671875,0.0,5848.01220703125,-1723.4659423828125
266.302734375,22083.343454106605,1773952747.5602975,0.9053976535797119,222.2138671875,0.0,0.0,1887.273569873,15046656.0,0.0,"{'_type': 'html-file', 'sha256': 'b9cd950e9b9a632f69b41ae2ce2b6d42143caab502748db25b3f8daeaf8f26bb', 'path': 'media/html/render_15046656_b9cd950e9b9a632f69b4.html', 'size': 3861593.0}",0.0,15046656.0,904.0029296875,0.310546875,-34.41096878051758,-2.8240248866495676e-05,222.2138671875,0.0,5674.5869140625,-1770.5955810546875
289.966796875,22234.735461245476,1773952747.7685802,0.8950927257537842,267.5146484375,0.0,0.0,1913.266423554,15300608.0,0.0,,0.0,15300608.0,913.7841796875,0.330078125,-34.61100769042969,-3.409339478821494e-05,267.5146484375,0.0,5484.73193359375,-1711.559326171875
231.0830078125,22105.219400227514,1773952773.552541,0.9042699933052063,199.08203125,0.0,0.0,1938.83095532,15554560.0,0.0,,0.0,15554560.0,918.5556640625,0.2841796875,-35.52322006225586,-4.379005258670077e-05,199.08203125,0.0,6122.3876953125,-1730.3394775390625
223.974609375,22258.09619250253,1773952799.1168902,0.8598809838294983,202.609375,0.0,0.0,1964.55908402,15808512.0,0.0,,0.0,15808512.0,894.7744140625,0.2646484375,-35.540306091308594,7.43690543458797e-05,202.609375,0.0,5965.6201171875,-1642.6614990234375
268.255859375,22214.69001272147,1773952824.8451483,0.8523816466331482,239.7978515625,0.0,0.0,1990.086150778,16062464.0,0.0,,0.0,16062464.0,918.294921875,0.30078125,-37.075016021728516,-3.713389014592394e-05,239.7978515625,0.0,5910.5498046875,-1801.724365234375
269.0576171875,22321.887297459332,1773952902.9698968,0.8373522758483887,236.5283203125,0.0,0.0,2042.68325845,16316416.0,0.0,"{'_type': 'html-file', 'sha256': '5b5a81b1a3c59afaddad6f3b368a776159e4e744340cc192d2ee2d1e617b41e4', 'path': 'media/html/render_16316416_5b5a81b1a3c59afaddad.html', 'size': 3858545.0}",0.0,16316416.0,903.7373046875,0.3251953125,-37.709712982177734,1.7993208530242555e-05,236.5283203125,0.0,5710.9248046875,-1749.78076171875
294.900390625,22210.76881023473,1773952903.2196014,0.8343342542648315,274.978515625,0.0,0.0,2068.483414233,16570368.0,0.0,,0.0,16570368.0,937.2412109375,0.322265625,-38.12135314941406,8.857231819092704e-07,274.978515625,0.0,5895.4140625,-1779.641845703125
302.5283203125,22292.528212623565,1773952928.769212,0.8114603757858276,286.3583984375,0.0,0.0,2094.175060515,16824320.0,0.0,,0.0,16824320.0,922.2177734375,0.3388671875,-38.85132598876953,2.6167715986957774e-05,286.3583984375,0.0,5645.1494140625,-1821.959716796875
267.9697265625,22272.73195567936,1773952954.4610324,0.7911537289619446,248.708984375,0.0,0.0,2119.680514911,17078272.0,0.0,,0.0,17078272.0,858.802734375,0.296875,-39.281837463378906,4.5154840336181223e-05,248.708984375,0.0,5598.4228515625,-1633.789306640625
278.6435546875,22389.77146935434,1773952979.9664598,0.7719945907592773,259.19140625,0.0,0.0,2145.376490867,17332224.0,0.0,,0.0,17332224.0,931.8955078125,0.31640625,-40.367279052734375,-5.399714791565202e-05,259.19140625,0.0,5930.69287109375,-1770.7919921875
