eval/episode_reward,training/entropy,eval/episode_success_any,_runtime,eval/episode_dist,_timestamp,step,training/log_alpha,eval/episode_success_hard,training/alpha_loss,training/actor_loss,eval/episode_reward_near,training/critic_loss,eval/episode_reward_ctrl,eval/episode_reward_dist,eval/episode_success,_step,eval/episode_reward_survive,render,eval/episode_success_easy,training/sps
967.8505859375,0.0,0.9970703125,574.343408077,23.38112449645996,1773455806.164704,18094080.0,0.0,0.0,2.3403299564961344e-05,-97.85885620117188,0.0,0.03373515605926514,0.0,-23.38112449645996,967.8505859375,18094080.0,0.0,,0.0,49040.966360990875
969.099609375,0.0,0.9990234375,580.241950511,24.351783752441406,1773455812.038898,18348032.0,0.0,0.0,-9.540021892462391e-06,-97.9405746459961,0.0,0.03152911365032196,0.0,-24.351783752441406,969.099609375,18348032.0,0.0,,0.0,49294.39875231223
976.32421875,0.0,1.0,586.115112162,24.25440788269043,1773455817.9374032,18601984.0,0.0,0.0,9.137706001638435e-06,-97.99400329589844,0.0,0.028272926807403564,0.0,-24.25440788269043,976.32421875,18601984.0,0.0,,0.0,49055.38057369847
974.1767578125,0.0,0.998046875,601.071406495,23.298946380615234,1773455838.7675068,18855936.0,0.0,0.0,1.502371901551669e-06,-97.9089584350586,0.0,0.030931362882256508,0.0,-23.298946380615234,974.1767578125,18855936.0,0.0,"{'path': 'media/html/render_18855936_b985331f69968f0c91ee.html', 'size': 909153, '_type': 'html-file', 'sha256': 'b985331f69968f0c91ee3cce73132469b6f01678cbbb18e445ac135f10fde873'}",0.0,49282.90136936496
968.6083984375,0.0,1.0,607.118870939,26.820512771606445,1773455838.9202342,19109888.0,0.0,0.0,9.865598258329555e-06,-97.88993835449219,0.0,0.029616564512252808,0.0,-26.820512771606445,968.6083984375,19109888.0,0.0,,0.0,49036.50513803971
974.44921875,0.0,1.0,613.013688473,25.47016716003418,1773455844.8144336,19363840.0,0.0,0.0,-2.470193471992843e-08,-97.94361877441406,0.0,0.028928570449352264,0.0,-25.47016716003418,974.44921875,19363840.0,0.0,,0.0,49109.80263892738
971.7783203125,0.0,1.0,618.891693078,25.41337013244629,1773455850.7092738,19617792.0,0.0,0.0,4.5788819988956675e-06,-97.97899627685547,0.0,0.029621152207255363,0.0,-25.41337013244629,971.7783203125,19617792.0,0.0,,0.0,49103.80763051026
969.5419921875,0.0,0.9990234375,624.786080021,24.99382972717285,1773455856.587234,19871744.0,0.0,0.0,5.678448360413313e-06,-98.01261901855469,0.0,0.027934502810239792,0.0,-24.99382972717285,969.5419921875,19871744.0,0.0,,0.0,49239.93121852792
963.99609375,0.0,0.998046875,639.806873182,24.27376937866211,1773455877.5029328,20125696.0,0.0,0.0,8.363205665773421e-07,-98.04327392578125,0.0,0.028953267261385918,0.0,-24.27376937866211,963.99609375,20125696.0,0.0,"{'path': 'media/html/render_20125696_ec8be298cc397435303c.html', 'size': 910569, '_type': 'html-file', 'sha256': 'ec8be298cc397435303c268713a322bef4c601a0cba3bb36fd01bfd83f8a860d'}",0.0,49086.06437551153
974.5419921875,0.0,0.9990234375,645.852292778,23.379131317138672,1773455877.660422,20379648.0,0.0,0.0,-1.1655288290057797e-05,-98.0364761352539,0.0,0.028714502230286598,0.0,-23.379131317138672,974.5419921875,20379648.0,0.0,,0.0,49238.2104202966
975.978515625,0.0,1.0,651.733219802,24.166996002197266,1773455883.547933,20633600.0,0.0,0.0,1.1583191735553555e-05,-98.01437377929688,0.0,0.034437648952007294,0.0,-24.166996002197266,975.978515625,20633600.0,0.0,,0.0,49163.31762553159
976.2177734375,0.0,1.0,657.61588107,24.79092025756836,1773455889.4288845,20887552.0,0.0,0.0,5.592901743511902e-06,-98.00182342529297,0.0,0.03024195320904255,0.0,-24.79092025756836,976.2177734375,20887552.0,0.0,,0.0,49227.0327129609
975.3798828125,0.0,1.0,663.50492021,24.002948760986328,1773455895.3114567,21141504.0,0.0,0.0,-2.522809609217802e-06,-97.94798278808594,0.0,0.032031867653131485,0.0,-24.002948760986328,975.3798828125,21141504.0,0.0,,0.0,49220.731561054345
975.267578125,0.0,1.0,678.476757872,24.323261260986328,1773455916.1728396,21395456.0,0.0,0.0,5.727266398025677e-06,-97.91324615478516,0.0,0.030234524980187416,0.0,-24.323261260986328,975.267578125,21395456.0,0.0,"{'path': 'media/html/render_21395456_42cda09f2cb56685b9c1.html', 'size': 908109, '_type': 'html-file', 'sha256': '42cda09f2cb56685b9c12b3a4fd0880face5267747de906a30710fa6bf74ad0e'}",0.0,49132.507733138096
965.2744140625,0.0,0.998046875,684.51580626,24.5371036529541,1773455916.324091,21649408.0,0.0,0.0,-1.823698403313756e-05,-97.98119354248047,0.0,0.030848577618598938,0.0,-24.5371036529541,965.2744140625,21649408.0,0.0,,0.0,49222.0417038398
969.2861328125,0.0,0.9990234375,690.404107538,27.64209747314453,1773455922.2114222,21903360.0,0.0,0.0,2.9233970053610392e-05,-98.08650207519531,0.0,0.02817939780652523,0.0,-27.64209747314453,969.2861328125,21903360.0,0.0,,0.0,49169.951362295826
