eval/episode_reward_near,eval/episode_reward_dist,_timestamp,_step,render,eval/episode_dist,training/log_alpha,training/alpha_loss,training/entropy,_runtime,step,eval/episode_reward_survive,eval/episode_success,eval/episode_reward,eval/episode_reward_ctrl,training/critic_loss,eval/episode_success_easy,eval/episode_success_any,training/actor_loss,eval/episode_success_hard,training/sps
0.0,-26.902135848999023,1773457435.234656,18855936.0,"{'path': 'media/html/render_18855936_7a89c3d7bb46bd4cf7f5.html', 'size': 907437, '_type': 'html-file', 'sha256': '7a89c3d7bb46bd4cf7f5791ef26a82edbd1452f3f3e3d0354fd14b5d6d27138f'}",26.902135848999023,0.0,1.2625184353964869e-05,0.0,597.868020309,18855936.0,0.0,964.146484375,964.146484375,0.0,0.05426898971199989,0.0,0.98828125,-96.65875244140625,0.0,49597.64996577086
0.0,-27.402042388916016,1773457435.3825788,19109888.0,,27.402042388916016,0.0,2.4006340026971884e-05,0.0,603.87323747,19109888.0,0.0,948.1650390625,948.1650390625,0.0,0.054025668650865555,0.0,0.986328125,-96.70799255371094,0.0,49530.81427826015
0.0,-26.72435188293457,1773457441.2392168,19363840.0,,26.72435188293457,0.0,-7.56192093831487e-06,0.0,609.718701658,19363840.0,0.0,970.8193359375,970.8193359375,0.0,0.05093934386968613,0.0,0.9951171875,-96.81987762451172,0.0,49459.29151648935
0.0,-28.23603057861328,1773457447.0847697,19617792.0,,28.23603057861328,0.0,-1.3168696568754967e-05,0.0,615.554596135,19617792.0,0.0,964.6962890625,964.6962890625,0.0,0.053282480686903,0.0,0.9931640625,-96.92520904541016,0.0,49553.78593732903
0.0,-26.404043197631836,1773457452.9208176,19871744.0,,26.404043197631836,0.0,2.0280738681321964e-05,0.0,621.404670329,19871744.0,0.0,970.169921875,970.169921875,0.0,0.051195647567510605,0.0,0.998046875,-96.87673950195312,0.0,49649.04942657465
0.0,-25.020973205566406,1773457473.683412,20125696.0,"{'path': 'media/html/render_20125696_811e611663519ebe09b0.html', 'size': 908025, '_type': 'html-file', 'sha256': '811e611663519ebe09b0dac13d8a0d51297974e2d6e36df280a89d327507b18d'}",25.020973205566406,0.0,-8.84589462657459e-06,0.0,636.316745787,20125696.0,0.0,974.82421875,974.82421875,0.0,0.054836634546518326,0.0,1.0,-96.8523941040039,0.0,49503.738366037935
0.0,-26.64683723449707,1773457473.8383884,20379648.0,,26.64683723449707,0.0,5.897043592995033e-06,0.0,642.313929217,20379648.0,0.0,967.1640625,967.1640625,0.0,0.053651828318834305,0.0,1.0,-96.98387908935547,0.0,49597.60377659135
0.0,-26.11788558959961,1773457479.6800115,20633600.0,,26.11788558959961,0.0,1.6363735994673334e-05,0.0,648.148422381,20633600.0,0.0,974.5595703125,974.5595703125,0.0,0.05072036013007164,0.0,0.9990234375,-97.09212493896484,0.0,49583.797069284614
0.0,-27.123109817504883,1773457485.5145595,20887552.0,,27.123109817504883,0.0,3.597562454160652e-06,0.0,653.992017264,20887552.0,0.0,960.099609375,960.099609375,0.0,0.04765015468001366,0.0,0.998046875,-97.12620544433594,0.0,49631.29390732042
0.0,-26.829334259033203,1773457491.3581097,21141504.0,,26.829334259033203,0.0,-1.8684631868381985e-06,0.0,659.840707276,21141504.0,0.0,970.6005859375,970.6005859375,0.0,0.047458216547966,0.0,0.9970703125,-97.22566223144531,0.0,49587.69587701026
0.0,-26.84054183959961,1773457512.1574407,21395456.0,"{'path': 'media/html/render_21395456_35b2525c58515cab1904.html', 'size': 908149, '_type': 'html-file', 'sha256': '35b2525c58515cab1904439d6ca4d86de3b161320f2865cada54ff0bdbd91213'}",26.84054183959961,0.0,-1.9300823339563067e-07,0.0,674.790764837,21395456.0,0.0,967.9111328125,967.9111328125,0.0,0.0467657633125782,0.0,0.9990234375,-97.23419952392578,0.0,49521.44646572133
0.0,-24.182231903076172,1773457512.310089,21649408.0,,24.182231903076172,0.0,1.1884966397701646e-06,0.0,680.810793279,21649408.0,0.0,973.498046875,973.498046875,0.0,0.04276068136096001,0.0,1.0,-97.26412200927734,0.0,49568.54705746056
0.0,-26.531620025634766,1773457518.1769764,21903360.0,,26.531620025634766,0.0,1.640258233237546e-05,0.0,686.650665717,21903360.0,0.0,971.068359375,971.068359375,0.0,0.03929051756858826,0.0,0.9990234375,-97.39048767089844,0.0,49352.92206209084
0.0,-25.438453674316406,1773457524.0167878,22157312.0,,25.438453674316406,0.0,9.371534019919636e-07,0.0,692.498089236,22157312.0,0.0,977.2138671875,977.2138671875,0.0,0.0433962419629097,0.0,1.0,-97.36104583740234,0.0,49578.21423177782
0.0,-24.113550186157227,1773457529.8642187,22411264.0,,24.113550186157227,0.0,-1.1623277487160522e-06,0.0,698.342848601,22411264.0,0.0,977.5458984375,977.5458984375,0.0,0.03933747112751007,0.0,0.9990234375,-97.52078247070312,0.0,49681.231409881955
