eval/episode_dist,eval/episode_success_easy,eval/episode_success_hard,training/sps,eval/episode_success_any,eval/episode_reward_ctrl,_timestamp,eval/episode_success,_step,eval/episode_reward_survive,eval/episode_reward,training/critic_loss,eval/episode_reward_near,step,training/log_alpha,training/alpha_loss,render,_runtime,training/entropy,eval/episode_reward_dist,training/actor_loss
1413.0362548828125,2.71875,0.0,44653.96537149086,0.0,-1537.9586181640625,1774229093.9718628,0.0,17586176.0,385.42578125,0.0,0.0006688405992463231,0.0,17586176.0,0.0,0.0,"{'path': 'media/html/render_17586176_33fc45eb2f3001fc472e.html', 'size': 4024109.0, '_type': 'html-file', 'sha256': '33fc45eb2f3001fc472ef65e7d1b64b201601d8fb8669f5f8128b0df983d0a01'}",920.244382694,0.0,0.0,0.03330386430025101
1175.318603515625,3.056640625,0.0,45046.55180213165,0.0009765625,-1322.057373046875,1774229094.173446,0.0068359375,17840128.0,331.447265625,0.0068359375,0.0006452315137721598,0.0,17840128.0,0.0,0.0,,929.167049532,0.0,0.0,0.03535040467977524
1567.938720703125,3.01953125,0.0,44601.56381385217,0.0,-1806.9071044921875,1774229102.8939028,0.0,18094080.0,452.4443359375,0.0,0.0008862339309416711,0.0,18094080.0,0.0,0.0,,937.796551315,0.0,0.0,0.03362133353948593
1389.452392578125,1.8525390625,0.0,45025.32976913204,0.001953125,-1540.4901123046875,1774229111.5234375,0.8798828125,18348032.0,385.59375,0.8798828125,0.0005924241850152612,0.0,18348032.0,0.0,0.0,,946.48132766,0.0,0.0,0.038671135902404785
1703.4154052734375,1.029296875,0.0,44819.61790130613,0.0,-1912.7705078125,1774229120.2081933,0.0,18601984.0,478.8232421875,0.0,0.0005863597616553307,0.0,18601984.0,0.0,0.0,,955.102102453,0.0,0.0,0.04487884044647217
1497.7501220703125,1.765625,0.0,45099.77566835958,0.0,-1726.8717041015625,1774229156.8524747,0.0,18855936.0,432.2470703125,0.0,0.0008194827241823077,0.0,18855936.0,0.0,0.0,"{'path': 'media/html/render_18855936_fed28c383b14cca31613.html', 'size': 3954189.0, '_type': 'html-file', 'sha256': 'fed28c383b14cca31613c5d9cc773b3291352fd7a7d791903b2dbfe95b511149'}",983.124979829,0.0,0.0,0.03862735256552696
1378.9749755859375,0.0859375,0.0,44943.84210783482,0.0,-1514.285888671875,1774229157.0283735,0.0,19109888.0,379.0693359375,0.0,0.0005756337195634842,0.0,19109888.0,0.0,0.0,,991.960869591,0.0,0.0,0.04501871019601822
1589.450439453125,13.4169921875,0.0,44857.209515834846,0.001953125,-1851.09521484375,1774229165.687815,1.0927734375,19363840.0,463.4775390625,1.0927734375,0.0007165112183429301,0.0,19363840.0,0.0,0.0,,1000.636551724,0.0,0.0,0.0401633121073246
1815.2471923828125,1.9970703125,0.0,44909.571951718935,0.0,-2059.54052734375,1774229174.3634481,0.0,19617792.0,515.65234375,0.0,0.0007897043251432478,0.0,19617792.0,0.0,0.0,,1009.247311523,0.0,0.0,0.040281884372234344
1998.8856201171875,0.0751953125,0.0,45175.765263043024,0.0,-2291.1015625,1774229182.9742627,0.0,19871744.0,573.6484375,0.0,0.0005490826442837715,0.0,19871744.0,0.0,0.0,,1017.975887789,0.0,0.0,0.03909928351640701
