training/alpha_loss,training/log_alpha,eval/episode_success_easy,eval/episode_reward_near,eval/episode_reward,eval/episode_reward_dist,_timestamp,eval/episode_dist,eval/episode_success_any,eval/episode_reward_survive,step,training/sps,eval/episode_reward_ctrl,training/entropy,_step,eval/episode_success_hard,_runtime,eval/episode_success,training/actor_loss,render,training/critic_loss
0.0,0.0,5.9599609375,0.0,1.814453125,0.0,1774223743.06263,1958.810546875,0.0029296875,536.5380859375,15554560.0,44657.77523999398,-2140.765625,0.0,15554560.0,0.0,805.441312544,1.814453125,0.03014525957405567,,0.0012352099874988198
0.0,0.0,7.53515625,0.0,0.0,0.0,1774223751.6958644,1968.421142578125,0.0,565.2705078125,15808512.0,45011.67408470192,-2254.59912109375,0.0,15808512.0,0.0,814.114159235,0.0,0.03431046009063721,,0.0009800036204978824
0.0,0.0,5.822265625,0.0,0.0029296875,0.0,1774223760.3688428,2249.475830078125,0.0009765625,641.943359375,16062464.0,44839.44209536111,-2562.67236328125,0.0,16062464.0,0.0,822.753864771,0.0029296875,0.03217848390340805,,0.0012220421340316534
0.0,0.0,4.72265625,0.0,0.9208984375,0.0,1774223797.1047308,1849.1414794921875,0.0009765625,521.69921875,16316416.0,44958.07716474773,-2082.239501953125,0.0,16316416.0,0.0,850.849495136,0.9208984375,0.043124206364154816,"{'sha256': 'abea2d754e82fb8305f92cd7fc989ddde6246ca56668939eeddf4672c60d2b6a', 'path': 'media/html/render_16316416_abea2d754e82fb8305f9.html', 'size': 3935541.0, '_type': 'html-file'}",0.0012121109757572412
0.0,0.0,2.0859375,0.0,0.1162109375,0.0,1774223797.2870638,2024.9720458984375,0.001953125,572.365234375,16570368.0,44858.308993962346,-2283.686279296875,0.0,16570368.0,0.0,859.679578304,0.1162109375,0.04536789655685425,,0.001436013844795525
0.0,0.0,20.0419921875,0.0,0.0,0.0,1774223805.9343693,1672.267333984375,0.0,488.2119140625,16824320.0,44876.22182983012,-1947.107666015625,0.0,16824320.0,0.0,868.340820982,0.0,0.052337002009153366,,0.0008501466945745051
0.0,0.0,5.1474609375,0.0,0.0341796875,0.0,1774223814.595513,1859.7178955078125,0.0009765625,542.4892578125,17078272.0,44984.2963593889,-2165.306396484375,0.0,17078272.0,0.0,876.975975506,0.0341796875,0.04681659862399101,,0.001016490627080202
0.0,0.0,9.28515625,0.0,0.0,0.0,1774223823.2306201,2380.62060546875,0.0,689.75,17332224.0,44986.56674771541,-2751.64404296875,0.0,17332224.0,0.0,885.646418805,0.0,0.04416140913963318,,0.0008799642091616988
0.0,0.0,1.125,0.0,0.0,0.0,1774223860.462542,2672.69384765625,0.0,759.3583984375,17586176.0,44897.006387153175,-3033.66162109375,0.0,17586176.0,0.0,914.207399424,0.0,0.031104112043976784,"{'path': 'media/html/render_17586176_a2fe79636455ca834ca9.html', 'size': 3826157.0, '_type': 'html-file', 'sha256': 'a2fe79636455ca834ca99c001923023cf1d6fcf8409413d975613eeb2a95adba'}",0.0012029892532154918
0.0,0.0,3.615234375,0.0,0.0,0.0,1774223860.6368127,2053.816162109375,0.0,597.6767578125,17840128.0,45071.028133343825,-2386.466552734375,0.0,17840128.0,0.0,923.119060722,0.0,0.03563797101378441,,0.0011949079344049096
0.0,0.0,5.013671875,0.0,0.0,0.0,1774223869.3738267,1888.495849609375,0.0,553.4189453125,18094080.0,44507.892481089875,-2209.65283203125,0.0,18094080.0,0.0,931.758542992,0.0,0.03577730804681778,,0.0011810509022325277
0.0,0.0,1.7236328125,0.0,0.0,0.0,1774223878.013188,2627.19384765625,0.0,762.1279296875,18348032.0,44926.33950957809,-3044.4462890625,0.0,18348032.0,0.0,940.437351039,0.0,0.03504905849695206,,0.0008695297874510288
0.0,0.0,7.3515625,0.0,0.001953125,0.0,1774223886.6912029,2591.6015625,0.0009765625,753.2783203125,18601984.0,44885.74916371654,-3009.04638671875,0.0,18601984.0,0.0,949.052916592,0.001953125,0.03818020969629288,,0.0006739163654856384
0.0,0.0,15.7939453125,0.0,0.0,0.0,1774223923.8375146,2020.158935546875,0.0,606.521484375,18855936.0,45123.98299784376,-2421.955810546875,0.0,18855936.0,0.0,977.58230797,0.0,0.03433447703719139,"{'sha256': '27af118da11bf1aa841f2cb6a074ffe98b8905ab652a6d9f76cf8218a239948a', 'path': 'media/html/render_18855936_27af118da11bf1aa841f.html', 'size': 3977401.0, '_type': 'html-file'}",0.0005140689900144935
0.0,0.0,4.2138671875,0.0,0.9384765625,0.0,1774223924.028807,1936.9566650390625,0.0009765625,584.01953125,19109888.0,45091.13457788567,-2332.062255859375,0.0,19109888.0,0.0,986.423811953,0.9384765625,0.030303388833999634,,0.000513543956913054
0.0,0.0,5.8603515625,0.0,0.0,0.0,1774223932.678341,2280.9130859375,0.0,654.33203125,19363840.0,44901.31400483052,-2614.4453125,0.0,19363840.0,0.0,995.100163549,0.0,0.033162493258714676,,0.0002403079270152375
0.0,0.0,7.52734375,0.0,0.0,0.0,1774223941.354675,1540.28564453125,0.0,444.3662109375,19617792.0,44887.13378145797,-1774.361083984375,0.0,19617792.0,0.0,1003.734605846,0.0,0.0271137747913599,,0.0003282821271568537
0.0,0.0,6.6201171875,0.0,0.0,0.0,1774223949.989306,2019.293212890625,0.0,577.8759765625,19871744.0,44975.803909474125,-2308.2568359375,0.0,19871744.0,0.0,1012.426555208,0.0,0.030608709901571274,,0.00024454790400341153
0.0,0.0,6.755859375,0.0,0.0,0.0,1774223987.319125,1781.457275390625,0.0,510.859375,20125696.0,44798.192707801696,-2040.28466796875,0.0,20125696.0,0.0,1041.063882006,0.0,0.023173531517386436,"{'sha256': '24719543b261e94fe4cac6f0228de72d1e87621f2f52d2a40c080b1c3c59acca', 'path': 'media/html/render_20125696_24719543b261e94fe4ca.html', 'size': 3977177.0, '_type': 'html-file'}",0.0006745700957253575
0.0,0.0,3.3759765625,0.0,0.0,0.0,1774223987.5022922,2006.1357421875,0.0,579.6005859375,20379648.0,44868.56582929149,-2313.79052734375,0.0,20379648.0,0.0,1049.969763623,0.0,0.02459140121936798,,0.0009720200905576348
0.0,0.0,7.7841796875,0.0,0.0,0.0,1774223996.2245007,1767.0556640625,0.0,511.9990234375,20633600.0,44564.09536461013,-2044.497314453125,0.0,20633600.0,0.0,1058.596438988,0.0,0.02433033473789692,,0.0006041546002961695
0.0,0.0,5.6015625,0.0,0.037109375,0.0,1774224004.8511672,1920.13720703125,0.001953125,550.734375,20887552.0,45044.14582377251,-2200.310302734375,0.0,20887552.0,0.0,1067.29116577,0.037109375,0.01667121611535549,,0.0006993889110162854
0.0,0.0,6.1318359375,0.0,0.2294921875,0.0,1774224013.5458899,1863.66943359375,0.0009765625,533.2333984375,21141504.0,44784.056820299345,-2130.7529296875,0.0,21141504.0,0.0,1075.973865053,0.2294921875,0.021828290075063705,,0.00040757996612228453
0.0,0.0,5.5791015625,0.0,0.0,0.0,1774224050.5162034,2520.776611328125,0.0,716.4189453125,21395456.0,44599.90356103941,-2862.90185546875,0.0,21395456.0,0.0,1104.2610462,0.0,0.0033910733181983232,"{'sha256': '9df4715ef85dd9875c439239820985c1ee02ae5af7eda3b8a0b7d55b78528249', 'path': 'media/html/render_21395456_9df4715ef85dd9875c43.html', 'size': 3916357.0, '_type': 'html-file'}",0.0009738347725942731
0.0,0.0,3.9189453125,0.0,0.0,0.0,1774224050.6906838,2806.8232421875,0.0,810.3525390625,21649408.0,44933.99059819664,-3238.771484375,0.0,21649408.0,0.0,1113.100171536,0.0,-0.001653529703617096,,0.0013150944141671062
0.0,0.0,13.3564453125,0.0,0.0,0.0,1774224059.3549216,2634.07861328125,0.0,750.3720703125,21903360.0,44814.39072281699,-2999.30615234375,0.0,21903360.0,0.0,1121.826352218,0.0,0.0037212360184639692,,0.0017118592513725162
0.0,0.0,9.181640625,0.0,0.0,0.0,1774224068.0810902,2136.3681640625,0.0,620.8193359375,22157312.0,44521.29439965619,-2481.6298828125,0.0,22157312.0,0.0,1130.495534058,0.0,0.01183121744543314,,0.0014250980457291007
0.0,0.0,3.95703125,0.0,0.0,0.0,1774224076.750294,1980.3935546875,0.0,570.009765625,22411264.0,44721.19302185203,-2277.8671875,0.0,22411264.0,0.0,1139.170340181,0.0,0.009809870272874832,,0.0014435420744121075
0.0,0.0,5.23828125,0.0,0.0,0.0,1774224113.2471197,1908.109130859375,0.0,549.478515625,22665216.0,44900.9733019788,-2196.322998046875,0.0,22665216.0,0.0,1166.991898645,0.0,0.018010852858424187,"{'sha256': 'e3eaf839a90c2f3bb3f301dcee51da475f2c7151024fa61cb62c7df4a7945ac9', 'path': 'media/html/render_22665216_e3eaf839a90c2f3bb3f3.html', 'size': 3914957.0, '_type': 'html-file'}",0.0010321417357772589
0.0,0.0,12.19140625,0.0,0.0927734375,0.0,1774224113.4765882,1902.024169921875,0.0009765625,567.2783203125,22919168.0,44927.30214878366,-2267.515869140625,0.0,22919168.0,0.0,1175.934225637,0.0927734375,0.029843248426914215,,0.0008399593643844128
0.0,0.0,3.6494140625,0.0,0.0,0.0,1774224122.188828,2331.5146484375,0.0,683.3056640625,23173120.0,44660.340480792045,-2731.10693359375,0.0,23173120.0,0.0,1184.562793009,0.0,0.028225034475326538,,0.0010478495387360454
0.0,0.0,16.1220703125,0.0,0.0,0.0,1774224130.8175197,2383.0498046875,0.0,697.046875,23427072.0,45007.60200597954,-2785.5634765625,0.0,23427072.0,0.0,1193.235847419,0.0,0.025945745408535004,,0.0012192220892757177
0.0,0.0,4.140625,0.0,0.0,0.0,1774224139.4904459,2204.644775390625,0.0,621.0390625,23681024.0,44887.192421526466,-2481.780517578125,0.0,23681024.0,0.0,1201.872368185,0.0,0.0207425057888031,,0.0014593570958822966
0.0,0.0,10.6787109375,0.0,0.0,0.0,1774224176.8405545,2194.642822265625,0.0,635.701171875,23934976.0,44957.874122818626,-2540.90234375,0.0,23934976.0,0.0,1230.585335158,0.0,0.028292173519730568,"{'sha256': 'e06af9d4b82d259d11e9c84e62ad4614328906b2c6f1856754213afe201331ce', 'path': 'media/html/render_23934976_e06af9d4b82d259d11e9.html', 'size': 3888477.0, '_type': 'html-file'}",0.001097467727959156
