_timestamp,training/critic_loss,training/sps,training/log_alpha,eval/episode_success_any,eval/episode_reward_survive,eval/episode_reward_near,render,_runtime,eval/episode_success,step,eval/episode_reward,eval/episode_reward_ctrl,training/actor_loss,eval/episode_reward_dist,training/entropy,_step,eval/episode_success_hard,eval/episode_success_easy,training/alpha_loss,eval/episode_dist
1774231358.973752,0.0029394219163805246,43911.276803517016,0.0,0.0,683.759765625,0.0,,577.455236487,0.0,10983424.0,0.0,-2690.30322265625,0.05342014506459236,0.0,0.0,10983424.0,0.0,3.466796875,0.0,2351.193359375
1774231396.2210171,0.002189618768170476,44049.456449653604,0.0,0.0,684.83203125,0.0,"{'sha256': '1f98819a95c518cac316612f16646a6fef4b4a77b270c964513092fa5f18923a', 'path': 'media/html/render_11237376_1f98819a95c518cac316.html', 'size': 3852673.0, '_type': 'html-file'}",605.950636259,0.0,11237376.0,0.0,-2697.189208984375,0.052593428641557693,0.0,0.0,11237376.0,0.0,6.15234375,0.0,2406.507568359375
1774231396.3971753,0.002461395924910903,43939.16886900454,0.0,0.001953125,645.01171875,0.0,,614.907853185,0.0263671875,11491328.0,0.0263671875,-2557.480224609375,0.03372511267662048,0.0,0.0,11491328.0,0.0,8.646484375,0.0,2232.12060546875
1774231405.177614,0.0024188775569200516,43920.61791365085,0.0,0.0,738.77734375,0.0,,623.726823567,0.0,11745280.0,0.0,-2926.9619140625,0.04240516945719719,0.0,0.0,11745280.0,0.0,0.97265625,0.0,2569.0322265625
1774231413.996718,0.002751402324065566,43789.29742415871,0.0,0.0,578.642578125,0.0,,632.471677534,0.0,11999232.0,0.0,-2301.1630859375,0.042164839804172516,0.0,0.0,11999232.0,0.0,3.4697265625,0.0,2009.677490234375
1774231422.7415864,0.0028255372308194637,44182.15190270993,0.0,0.0,606.9326171875,0.0,,641.28152812,0.0,12253184.0,0.0,-2402.39453125,0.0389929860830307,0.0,0.0,12253184.0,0.0,4.2958984375,0.0,2078.740966796875
1774231459.6193886,0.0018969152588397264,43865.8465406849,0.0,0.0,619.447265625,0.0,"{'path': 'media/html/render_12507136_cf63657c8703db82c823.html', 'size': 3861265.0, '_type': 'html-file', 'sha256': 'cf63657c8703db82c8239337bd0b7d2bbd754389bd019db65f2fff4ee7dfa109'}",669.349055587,0.0,12507136.0,0.0,-2450.4482421875,0.04111876338720322,0.0,0.0,12507136.0,0.0,6.3154296875,0.0,2170.88818359375
1774231459.815759,0.002211319049820304,44168.22989847358,0.0,0.0,624.7119140625,0.0,,678.385200509,0.0,12761088.0,0.0,-2479.474365234375,0.03175170347094536,0.0,0.0,12761088.0,0.0,10.6689453125,0.0,2143.102294921875
1774231468.655025,0.0022754259407520294,43736.40984920112,0.0,0.0,650.0986328125,0.0,,687.148410861,0.0,13015040.0,0.0,-2569.74169921875,0.03268050402402878,0.0,0.0,13015040.0,0.0,6.8720703125,0.0,2197.136474609375
1774231477.418228,0.001729872776195407,44015.65764552869,0.0,0.0,666.240234375,0.0,,695.955131748,0.0,13268992.0,0.0,-2651.593994140625,0.02961169183254242,0.0,0.0,13268992.0,0.0,12.3740234375,0.0,2292.274658203125
