training/log_alpha,training/actor_loss,training/alpha_loss,training/critic_loss,eval/episode_success_hard,eval/episode_success_easy,training/sps,eval/episode_success,eval/episode_reward_dist,eval/episode_reward_survive,_timestamp,training/entropy,eval/episode_dist,step,_step,eval/episode_success_any,eval/episode_reward,_runtime,eval/episode_reward_near,render,eval/episode_reward_ctrl
0.0,-0.22861312329769135,-2.1288642528816126e-06,0.002698041032999754,0.0,6.2841796875,42208.51860460545,0.0,0.0,916.548828125,1773784560.9340885,0.0,3087.32373046875,9967616.0,9967616.0,0.0,0.0,550.167713868,0.0,"{'path': 'media/html/render_9967616_cd4d8d9b53e039810eee.html', 'size': 4066997.0, '_type': 'html-file', 'sha256': 'cd4d8d9b53e039810eeef504b70fb4906440046147fc52fc78f3436af47227a9'}",-1870.82470703125
0.0,-0.23297207057476044,6.035367619006138e-07,0.0027946699410676956,0.0,6.16796875,42185.67173351931,0.0,0.0,884.4951171875,1773784561.149384,0.0,3041.59130859375,10221568.0,10221568.0,0.0,0.0,559.487430611,0.0,,-1934.840576171875
0.0,-0.19809852540493011,1.1361717042746022e-06,0.002115498995408416,0.0,33.4130859375,42019.3443442769,0.607421875,0.0,962.0830078125,1773784570.2531269,0.0,3210.857177734375,10475520.0,10475520.0,0.0068359375,0.607421875,568.53695513,0.0,,-2171.989501953125
0.0,-0.19959327578544617,-3.0578189580410253e-06,0.002166382735595107,0.0,17.66015625,42041.55502869233,0.3193359375,0.0,974.33203125,1773784579.3022316,0.0,3323.8310546875,10729472.0,10729472.0,0.0009765625,0.3193359375,577.655311919,0.0,,-2332.83837890625
0.0,-0.16472598910331726,4.113262093596859e-06,0.001982363872230053,0.0,18.1787109375,42110.021210856954,0.0,0.0,953.84765625,1773784588.421018,0.0,3158.7490234375,10983424.0,10983424.0,0.0,0.0,586.706852069,0.0,,-2138.40966796875
0.0,-0.18013343214988708,1.6008824843538605e-07,0.0021116058342158794,0.0,25.09765625,42024.18351683578,0.0,0.0,965.0322265625,1773784625.9865203,0.0,3206.363037109375,11237376.0,11237376.0,0.0,0.0,615.22011404,0.0,"{'path': 'media/html/render_11237376_e9be83b350a7f9536a99.html', 'size': 4132053.0, '_type': 'html-file', 'sha256': 'e9be83b350a7f9536a992b68aad80ec69e1e79d4725562fd7f29439c820e7d89'}",-2229.51220703125
0.0,-0.16638579964637756,5.509410584636498e-06,0.002021022839471698,0.0,3.86328125,42043.757142047965,0.0,0.0,928.5341796875,1773784626.159843,0.0,3180.33544921875,11491328.0,11491328.0,0.0,0.0,624.470337211,0.0,,-2055.30517578125
0.0,-0.229008287191391,-7.632223059772514e-06,0.0029081813991069794,0.0,9.451171875,41875.921975642064,0.0,0.0,900.701171875,1773784635.235981,0.0,3119.21142578125,11745280.0,11745280.0,0.0,0.0,633.555170789,0.0,,-1988.668701171875
0.0,-0.330613911151886,3.910809027729556e-06,0.004176904913038015,0.0,7.8095703125,42090.48897344951,0.0,0.0,958.509765625,1773784644.3208363,0.0,3319.37109375,11999232.0,11999232.0,0.0,0.0,642.614768939,0.0,,-2289.1376953125
0.0,-0.25081074237823486,7.855169315007515e-06,0.003051233245059848,0.0,15.3193359375,41989.951972237126,0.3837890625,0.0,953.44140625,1773784653.3805435,0.0,3224.472900390625,12253184.0,12253184.0,0.00390625,0.3837890625,651.705488189,0.0,,-2076.18408203125
0.0,-0.17993569374084473,-1.3336378287931439e-05,0.0022982016671448946,0.0,18.8056640625,42049.21612520526,0.0107421875,0.0,932.8095703125,1773784691.421474,0.0,3212.5751953125,12507136.0,12507136.0,0.0009765625,0.0107421875,680.655072164,0.0,"{'path': 'media/html/render_12507136_f815885b9065eb6d97eb.html', 'size': 4178705.0, '_type': 'html-file', 'sha256': 'f815885b9065eb6d97ebd3c2e3f35044d10629caef4da30c13155a00eafeaf38'}",-2086.89208984375
0.0,-0.24779541790485382,-1.4445918168348726e-06,0.0028914492577314377,0.0,16.3486328125,41982.980966014795,0.0,0.0,851.1923828125,1773784691.6041913,0.0,2842.398681640625,12761088.0,12761088.0,0.0,0.0,689.957874502,0.0,,-1964.7528076171875
0.0,-0.26285451650619507,1.208835101351724e-06,0.0035335428547114134,0.0,16.9111328125,41936.72188090992,0.0,0.0,964.791015625,1773784700.7235556,0.0,3222.364013671875,13015040.0,13015040.0,0.0,0.0,699.022711708,0.0,,-2131.830078125
0.0,-0.2836120128631592,-1.5210580386337824e-06,0.004509067628532648,0.0,12.044921875,41936.92001568886,0.0,0.0,861.7392578125,1773784709.7882805,0.0,2975.453857421875,13268992.0,13268992.0,0.0,0.0,708.112776367,0.0,,-1925.9476318359375
0.0,-0.3111080527305603,-4.428981810633559e-06,0.005338653922080994,0.0,3.822265625,42073.838157717815,0.0,0.0,906.8076171875,1773784718.87839,0.0,3078.10546875,13522944.0,13522944.0,0.0,0.0,717.170831844,0.0,,-2218.509765625
0.0,-0.3579411804676056,2.3032521312416065e-06,0.005687428172677755,0.0,13.3603515625,42001.75267870863,0.0,0.0,908.62890625,1773784756.3493347,0.0,3091.18212890625,13776896.0,13776896.0,0.0,0.0,745.58295325,0.0,"{'_type': 'html-file', 'sha256': '335d807d3b795b96c4322b9ca241afa8209c2bc1810fcecd11ba289d0cf3bdbb', 'path': 'media/html/render_13776896_335d807d3b795b96c432.html', 'size': 4081665.0}",-2116.88916015625
0.0,-0.3503589928150177,-7.522684200012009e-07,0.005992965307086706,0.0,4.037109375,42066.558502230175,0.0,0.0,852.92578125,1773784756.5295634,0.0,2910.514892578125,14030848.0,14030848.0,0.0,0.0,754.852928052,0.0,,-1939.5909423828125
0.0,-0.2679634690284729,-1.4891480532241985e-05,0.004734376911073923,0.0,20.1201171875,41813.24461008939,0.0,0.0,867.1533203125,1773784765.6184916,0.0,2947.6474609375,14284800.0,14284800.0,0.0,0.0,763.958844829,0.0,,-2131.93115234375
0.0,-0.30514615774154663,8.366157999262214e-06,0.005140611901879311,0.0,15.37890625,41953.54193209986,0.5693359375,0.0,946.7646484375,1773784774.724622,0.0,3202.56201171875,14538752.0,14538752.0,0.0009765625,0.5693359375,773.025775372,0.0,,-2019.4962158203125
