training/entropy,_timestamp,_runtime,eval/episode_success,eval/episode_reward_survive,render,training/alpha_loss,eval/episode_reward_ctrl,eval/episode_success_hard,training/log_alpha,eval/episode_reward_dist,eval/episode_dist,_step,training/critic_loss,eval/episode_reward,eval/episode_success_easy,step,training/sps,eval/episode_success_any,training/actor_loss,eval/episode_reward_near
0.0,1773843572.0301566,1486.419410552,0.0,0.0,"{'_type': 'html-file', 'sha256': '06a313ca8fbaeb4bb9197452b5c31548557157db73f3fb92f823d63725dc95f3', 'path': 'media/html/render_20855808_06a313ca8fbaeb4bb919.html', 'size': 4718309.0}",6.986842354672618e-11,0.0,0.0,0.0,0.0,247.91184997558594,20855808.0,1.5418843759107403e-05,0.0,20.439453125,20855808.0,32230.751662461127,0.0,-0.0013252327917143703,0.0
0.0,1773843572.2698338,1498.527429124,0.005859375,0.0,,6.226972409928422e-11,0.0,0.0,0.0,0.0,250.69461059570312,21109760.0,1.5663412341382354e-05,0.005859375,21.064453125,21109760.0,32326.862572336595,0.001953125,-0.0015444246819242835,0.0
0.0,1773843584.1376214,1510.347001658,0.0078125,0.0,,6.202646035680104e-11,0.0,0.0,0.0,0.0,247.79315185546875,21363712.0,1.4805376849835739e-05,0.0078125,19.919921875,21363712.0,32152.156764238523,0.001953125,-0.0011695143766701221,0.0
0.0,1773843595.956771,1522.184425533,0.0,0.0,,6.202867386395639e-11,0.0,0.0,0.0,0.0,260.065185546875,21617664.0,1.95728316612076e-05,0.0,20.6875,21617664.0,32304.94385649406,0.0,-0.0013880014885216951,0.0
0.0,1773843607.794689,1534.007743655,0.013671875,0.0,,6.076457392811818e-11,0.0,0.0,0.0,0.0,248.2001495361328,21871616.0,2.0798568584723398e-05,0.013671875,20.423828125,21871616.0,32228.52720227803,0.001953125,-0.001998272491618991,0.0
0.0,1773843657.3654068,1571.754699359,0.0,0.0,"{'path': 'media/html/render_22125568_8971d4f1b13d54fb885e.html', 'size': 4717773.0, '_type': 'html-file', 'sha256': '8971d4f1b13d54fb885e1b984c387e30476b871585937c96cb7c1b740e004e78'}",5.92279003619467e-11,0.0,0.0,0.0,0.0,252.43345642089844,22125568.0,2.2383394025382586e-05,0.0,18.37890625,22125568.0,32307.971645592843,0.0,-0.0019432803383097053,0.0
0.0,1773843657.569753,1583.815483813,0.0,0.0,,5.763633667554835e-11,0.0,0.0,0.0,0.0,247.98915100097656,22379520.0,1.871426502475515e-05,0.0,21.388671875,22379520.0,32253.67630871675,0.0,-0.0018184306100010872,0.0
0.0,1773843669.4257224,1595.666250494,0.005859375,0.0,,5.603826083722119e-11,0.0,0.0,0.0,0.0,250.00885009765625,22633472.0,2.8379636205499992e-05,0.005859375,20.466796875,22633472.0,32233.840670298072,0.001953125,-0.00237932987511158,0.0
0.0,1773843681.276407,1607.490332528,0.017578125,0.0,,5.446024534117022e-11,0.0,0.0,0.0,0.0,264.79840087890625,22887424.0,2.4097622372210026e-05,0.017578125,18.3671875,22887424.0,32196.725966432823,0.001953125,-0.0021893137600272894,0.0
0.0,1773843693.100657,1619.301360601,0.0,0.0,,5.2900663016774985e-11,0.0,0.0,0.0,0.0,242.28109741210938,23141376.0,2.3121359845390543e-05,0.0,21.17578125,23141376.0,32302.607261676312,0.0,-0.002174516674131155,0.0
