eval/episode_success_easy,eval/episode_success,training/alpha_loss,_timestamp,_step,eval/episode_reward,training/actor_loss,training/critic_loss,eval/episode_reward_near,training/log_alpha,eval/episode_reward_survive,training/sps,eval/episode_dist,step,_runtime,eval/episode_reward_dist,render,eval/episode_reward_ctrl,training/entropy,eval/episode_success_any,eval/episode_success_hard
16.39453125,0.013671875,1.8127313539118006e-10,1773850148.3348534,13745152.0,0.013671875,-0.010354806669056416,0.00012119074381189421,0.0,0.0,0.0,32202.064000290713,251.16229248046875,13745152.0,1008.930619629,0.0,,0.0,0.0,0.001953125,0.0
14.77734375,0.0,7.19073967037076e-11,1773850160.1566916,13999104.0,0.0,-0.011919349431991577,0.00015831858036108315,0.0,0.0,0.0,32332.539262512222,182.4255828857422,13999104.0,1020.741117962,0.0,,0.0,0.0,0.0,0.0
19.314453125,0.015625,1.2145437433552786e-10,1773850171.9672537,14253056.0,0.015625,-0.011655371636152267,0.00012988917296752334,0.0,0.0,0.0,32344.18246683934,244.4369659423828,14253056.0,1032.558403896,0.0,,0.0,0.0,0.00390625,0.0
18.962890625,0.0390625,1.4476368714877452e-10,1773850221.501788,14507008.0,0.0390625,-0.01093912310898304,0.0001399093889631331,0.0,0.0,0.0,32349.69723506931,249.36068725585938,14507008.0,1070.275107945,0.0,"{'_type': 'html-file', 'sha256': '16c6b293c968bcaf46a6104a121400d509de6b81884d359586f4aef877028f82', 'path': 'media/html/render_14507008_16c6b293c968bcaf46a6.html', 'size': 4715101.0}",0.0,0.0,0.0078125,0.0
18.404296875,0.01171875,1.4376727586196125e-10,1773850221.7069697,14760960.0,0.01171875,-0.010486670769751072,0.00011552325304364786,0.0,0.0,0.0,32320.764192049235,250.6540985107422,14760960.0,1082.338729151,0.0,,0.0,0.0,0.001953125,0.0
17.37890625,0.0,6.044125616666562e-11,1773850233.564985,15014912.0,0.0,-0.010479978285729885,0.0001276823168154806,0.0,0.0,0.0,32210.811727587527,236.1039276123047,15014912.0,1094.147881328,0.0,,0.0,0.0,0.0,0.0
18.734375,0.0078125,9.98714375088916e-11,1773850245.374114,15268864.0,0.0078125,-0.011050627566874027,0.00012724060798063874,0.0,0.0,0.0,32360.134663614088,242.1949920654297,15268864.0,1105.985166592,0.0,,0.0,0.0,0.001953125,0.0
19.43359375,0.013671875,1.04008773815778e-10,1773850257.2112894,15522816.0,0.013671875,-0.010659964755177498,0.00012986767978873104,0.0,0.0,0.0,32280.24596427938,228.03262329101562,15522816.0,1117.783793418,0.0,,0.0,0.0,0.00390625,0.0
18.1796875,0.013671875,4.503972195202266e-11,1773850307.7944353,15776768.0,0.013671875,-0.010629658587276936,0.00011792731675086543,0.0,0.0,0.0,32392.945311900796,227.97238159179688,15776768.0,1156.567833034,0.0,"{'sha256': 'a860207fac36fad72b4ab4de87ad37414ca208996d0c21d3afb89bc8c079513f', 'path': 'media/html/render_15776768_a860207fac36fad72b4a.html', 'size': 4718817.0, '_type': 'html-file'}",0.0,0.0,0.00390625,0.0
22.23828125,0.0390625,7.975082400024647e-11,1773850308.0622451,16030720.0,0.0390625,-0.011638546362519264,0.0001461325300624594,0.0,0.0,0.0,32310.00420813436,274.3344421386719,16030720.0,1168.670524115,0.0,,0.0,0.0,0.00390625,0.0
